"Journals","N_responses","Data_timing","Data_timing_agree","Data_strict","Data_strict_agree","Data_clar_mean","Data_clar_mode","Data_clar_agree","Data_clar_NAs","Code_timing","Code_timing_agree","Code_strict","Code_strict_agree","Code_clar_mean","Code_clar_mode","Code_clar_agree","Code_clar_NAs"
"biology open",3,"After Acceptance (Post-Publication)",2,"Encouraged",3,4,"5",2,0,"Unclear",2,"Encouraged",2,3,NA,NA,1
"biosystems diversity",3,NA,NA,"Not Mentioned",2,1.5,NA,NA,1,"Not Expected At All",2,"Not Mentioned",3,1,"No_Rating",2,2
"biotropica",3,"Unclear",2,"Mandated",3,3.66666666666667,"4",2,0,NA,NA,"Encouraged",2,2.33333333333333,NA,NA,0
"bird conservation international",3,"Unclear",2,"Optional for Authors",2,3,NA,NA,0,"Unclear",2,NA,NA,2.5,NA,NA,1
"bmc ecology and evolution",3,"Unclear",3,"Encouraged",3,3.33333333333333,"3",2,0,"Unclear",2,"Not Mentioned",3,1,"1",2,1
"bulletin of the american museum of natural history",3,NA,NA,"Mandated",2,2.66666666666667,NA,NA,0,"Not Expected At All",3,"Not Mentioned",3,1,"No_Rating",2,2
"bulletin of the peabody museum of natural history",3,"Not Expected At All",2,"Optional for Authors",2,2.5,NA,NA,1,"Not Expected At All",3,"Not Mentioned",3,NA,NA,NA,0
"chemistry and ecology",3,NA,NA,"Encouraged",3,4,NA,NA,0,"Not Expected At All",3,"Not Mentioned",3,NA,NA,NA,0
"chemoecology",3,"During Peer Review",2,"Encouraged",3,4,"4",2,1,"Not Expected At All",2,NA,NA,2.5,NA,NA,1
"cladistics",3,"During Peer Review",2,"Mandated",3,4,"5",2,0,"Not Expected At All",3,"Not Mentioned",3,NA,NA,NA,0
"communications biology",3,"Unclear",2,"Mandated",3,4,NA,NA,0,"During Peer Review",2,NA,NA,3.66666666666667,"4",2,0
"community ecology",3,"Unclear",2,"Encouraged",3,3.33333333333333,NA,NA,0,"Not Expected At All",3,"Not Mentioned",2,1,"No_Rating",2,2
"compost science & utilization",3,"Unclear",2,"Optional for Authors",2,2.33333333333333,"1",2,0,"Not Expected At All",3,"Not Mentioned",3,NA,NA,NA,0
"conservation biology",3,"Unclear",2,"Encouraged",3,4,NA,NA,0,"Unclear",2,"Encouraged",3,3.66666666666667,NA,NA,0
"conservation letters",3,"After Acceptance (Post-Publication)",3,"Mandated",3,4,NA,NA,0,"After Acceptance (Post-Publication)",2,"Encouraged",2,3,NA,NA,0
"conservation physiology",3,"Unclear",2,"Encouraged",3,3.66666666666667,"3",2,0,"Unclear",2,"Encouraged",3,4.33333333333333,"5",2,0
"contemporary problems of ecology",3,"Unclear",3,NA,NA,1.33333333333333,"1",2,0,"Not Expected At All",2,NA,NA,1.5,NA,NA,1
"current biology",3,"After Acceptance (Post-Publication)",2,"Mandated",3,4.66666666666667,"5",2,0,"After Acceptance (Post-Publication)",2,"Mandated",3,5,"5",3,0
"current opinion in insect science",3,"Unclear",2,"Mandated",2,3.66666666666667,"3",2,0,NA,NA,"Mandated",2,3.5,NA,NA,1
"development genes and evolution",3,"Unclear",2,"Encouraged",3,4.33333333333333,"4",2,0,"Not Expected At All",2,"Not Mentioned",2,2,"No_Rating",2,2
"diversity-basel",3,"During Peer Review",2,"Encouraged",2,3.33333333333333,NA,NA,0,"Unclear",2,"Encouraged",2,3.33333333333333,"4",2,0
"diversity and distributions",3,"During Peer Review",2,"Mandated",3,5,"5",3,0,"Unclear",3,"Encouraged",3,3.66666666666667,"3",2,0
"eco mont-journal on protected mountain areas research",3,"Not Expected At All",3,"Not Mentioned",3,NA,NA,NA,0,"Not Expected At All",3,"Not Mentioned",3,NA,NA,NA,0
"ecography",3,"After Acceptance (Post-Publication)",3,"Mandated",3,4.66666666666667,"5",2,0,"Not Expected At All",2,NA,NA,3,"3",2,1
"ecohydrology",3,"Not Expected At All",2,"Encouraged",3,4,NA,NA,0,"Not Expected At All",2,NA,NA,3.5,NA,NA,1
"ecohydrology & hydrobiology",3,"Not Expected At All",2,"Encouraged",2,4,NA,NA,0,"Not Expected At All",2,NA,NA,4,NA,NA,0
"ecologia aplicada",3,"Not Expected At All",2,"Not Mentioned",3,1,"1",2,1,"Not Expected At All",2,"Not Mentioned",3,1,"No_Rating",2,2
"ecological applications",3,"After Acceptance (Post-Publication)",3,"Mandated",3,5,"5",3,0,"After Acceptance (Post-Publication)",3,"Mandated",3,5,"5",3,0
"ecological complexity",3,"Unclear",2,"Encouraged",2,2.66666666666667,"2",2,0,"Not Expected At All",2,NA,NA,3,NA,NA,0
"ecological economics",3,"Not Expected At All",2,"Encouraged",2,2.33333333333333,"2",2,0,"Not Expected At All",2,NA,NA,2.66666666666667,"3",2,0
"ecological engineering",3,"Not Expected At All",2,"Encouraged",2,2.66666666666667,"2",2,0,"Not Expected At All",2,NA,NA,3,NA,NA,0
"ecological indicators",3,"Not Expected At All",2,"Encouraged",2,2.66666666666667,"2",2,0,"Not Expected At All",2,"Encouraged",2,2.66666666666667,"2",2,0
"ecological informatics",3,"Not Expected At All",2,"Encouraged",2,2.66666666666667,"2",2,0,"Not Expected At All",2,"Encouraged",3,2.66666666666667,"2",2,0
"ecological management & restoration",3,"Not Expected At All",2,"Encouraged",2,4,"4",3,0,"Not Expected At All",3,"Not Mentioned",2,2,NA,NA,1
"ecological modelling",3,"Not Expected At All",2,"Encouraged",2,2.66666666666667,"2",2,0,"Unclear",2,"Encouraged",2,2.33333333333333,NA,NA,0
"ecological monographs",3,"After Acceptance (Post-Publication)",2,"Mandated",2,4.66666666666667,"5",2,0,"After Acceptance (Post-Publication)",2,"Mandated",2,4.66666666666667,"5",2,0
"ecological processes",3,"Not Expected At All",3,"Optional for Authors",2,3,NA,NA,0,"Not Expected At All",3,NA,NA,2,"2",2,1
"ecological questions",3,"Not Expected At All",3,"Not Mentioned",3,3,"No_Rating",2,2,"Not Expected At All",3,"Not Mentioned",3,3,"No_Rating",2,2
"ecological research",3,"Not Expected At All",2,NA,NA,4,NA,NA,0,"Not Expected At All",2,"Not Mentioned",2,2.5,NA,NA,1
"ecological restoration",3,"Not Expected At All",2,"Not Mentioned",3,2.5,NA,NA,1,"Not Expected At All",2,"Not Mentioned",3,3,NA,NA,1
"ecology",3,"After Acceptance (Post-Publication)",2,"Mandated",3,5,"5",3,0,"After Acceptance (Post-Publication)",2,"Mandated",3,4.66666666666667,"5",2,0
"ecology and evolution",3,"During Peer Review",3,"Mandated",3,5,"5",3,0,"During Peer Review",3,"Mandated",3,5,"5",3,0
"ecology and society",3,NA,NA,NA,NA,3.33333333333333,"4",2,0,NA,NA,NA,NA,3.33333333333333,"4",2,0
"ecology letters",3,"During Peer Review",3,"Mandated",3,5,"5",3,0,"During Peer Review",3,"Mandated",3,4.66666666666667,"5",2,0
"ecology, environment and conservation",3,"Not Expected At All",2,"Not Mentioned",3,5,"No_Rating",2,2,"Not Expected At All",2,"Not Mentioned",3,5,"No_Rating",2,2
"ecoscience",3,"During Peer Review",2,"Encouraged",3,2.66666666666667,NA,NA,0,"Not Expected At All",2,"Not Mentioned",3,5,"No_Rating",2,2
"ecosistemas",3,"During Peer Review",2,"Mandated",2,3.5,NA,NA,1,"Not Expected At All",2,"Not Mentioned",3,5,"No_Rating",2,2
"ecosphere",3,NA,NA,"Mandated",3,4.33333333333333,"4",2,0,NA,NA,"Mandated",3,4.33333333333333,"4",2,0
"ecosystem health and sustainability",3,NA,NA,"Mandated",2,3.5,NA,NA,1,NA,NA,"Mandated",2,3.5,NA,NA,1
"ecosystem services",3,"Unclear",3,"Mandated",2,2.66666666666667,NA,NA,0,"Unclear",3,NA,NA,2,NA,NA,0
"ecosystems",3,"Unclear",2,"Mandated",2,3.66666666666667,"5",2,0,"Unclear",2,"Mandated",2,3.66666666666667,"5",2,0
"ecotoxicology",3,"Not Expected At All",2,"Encouraged",3,3.66666666666667,"4",2,0,"Not Expected At All",2,"Not Mentioned",2,2,"2",2,1
"elife",3,"Unclear",2,"Mandated",3,4,NA,NA,0,"Not Expected At All",2,"Not Mentioned",2,4.5,NA,NA,1
"environmental biology of fishes",3,NA,NA,"Encouraged",3,4,"4",3,0,"Unclear",2,"Not Mentioned",2,2,"2",2,1
"environmental evidence",3,"Unclear",2,"Encouraged",3,3.66666666666667,"3",2,0,"Not Expected At All",2,"Not Mentioned",2,1,"No_Rating",2,2
"environmental pollution",3,"During Peer Review",2,"Mandated",2,3.33333333333333,NA,NA,0,NA,NA,"Optional for Authors",2,3.33333333333333,NA,NA,0
"ethology",3,"During Peer Review",2,"Mandated",3,4.66666666666667,"5",2,0,"Not Expected At All",2,NA,NA,3,NA,NA,0
"ethology, ecology and evolution",3,"Not Expected At All",2,"Optional for Authors",2,1.66666666666667,"1",2,0,NA,NA,NA,NA,2,"1",2,0
"european journal of soil biology",3,"During Peer Review",2,NA,NA,4,"4",3,0,"Unclear",2,"Optional for Authors",2,2.5,NA,NA,1
"european journal of wildlife research",3,"Unclear",3,"Encouraged",2,2,NA,NA,0,"Not Expected At All",2,"Optional for Authors",2,1,"1",2,1
"evodevo",3,"Unclear",2,"Encouraged",2,4,"5",2,0,"Not Expected At All",2,NA,NA,2,"2",3,0
"evolution",3,"During Peer Review",2,"Mandated",3,4.66666666666667,"5",2,0,"During Peer Review",2,"Mandated",2,4.33333333333333,"4",2,0
"evolution & development",3,"Unclear",3,"Encouraged",2,3,"3",3,0,"Unclear",3,"Optional for Authors",2,2.66666666666667,"3",2,0
"evolution letters",3,"During Peer Review",2,"Mandated",3,4.66666666666667,"5",2,0,"During Peer Review",2,"Mandated",2,4.33333333333333,"4",2,0
"evolution medicine and public health",3,"Unclear",2,"Encouraged",2,2.33333333333333,"3",2,0,"Unclear",2,"Encouraged",2,2,NA,NA,0
"evolutionary applications",3,"During Peer Review",2,"Mandated",3,4.66666666666667,"5",2,0,"Not Expected At All",2,"Optional for Authors",2,1.66666666666667,"1",2,0
"evolutionary bioinformatics",3,"Unclear",2,"Encouraged",3,2.66666666666667,"3",2,0,"Not Expected At All",3,"Not Mentioned",3,NA,NA,NA,0
"evolutionary biology",3,"During Peer Review",3,"Mandated",3,4.66666666666667,"5",2,0,"Not Expected At All",2,"Not Mentioned",2,1,"No_Rating",2,2
"evolutionary ecology",3,"Unclear",2,"Encouraged",3,4.33333333333333,"5",2,0,"Unclear",2,"Not Mentioned",2,1,"1",3,0
"fems microbiology ecology",3,"Unclear",2,"Encouraged",3,4,NA,NA,0,"Unclear",3,"Encouraged",3,3.66666666666667,NA,NA,0
"fire-switzerland",3,"Unclear",2,"Mandated",2,3,NA,NA,0,"Unclear",3,"Encouraged",2,2.66666666666667,"3",2,0
"fire ecology",3,"Unclear",2,"Not Mentioned",2,3,NA,NA,0,NA,NA,"Not Mentioned",2,1.33333333333333,"1",2,0
"fish and fisheries",3,"Unclear",2,NA,NA,3.33333333333333,"3",2,0,"Unclear",3,"Encouraged",2,2.66666666666667,"3",2,0
"flora",3,"During Peer Review",2,"Mandated",3,4,"4",3,0,NA,NA,"Mandated",2,4,"4",2,1
"folia oecologica",3,"Not Expected At All",3,"Not Mentioned",3,1,"1",2,1,"Not Expected At All",3,"Not Mentioned",3,1,"1",2,1
"food webs",3,"During Peer Review",2,"Encouraged",3,5,"5",2,1,NA,NA,"Encouraged",2,4,"5",2,0
"freshwater biology",3,"Unclear",2,"Optional for Authors",3,3.33333333333333,NA,NA,0,"Unclear",2,"Optional for Authors",2,4,NA,NA,1
"freshwater science",3,"Not Expected At All",2,NA,NA,2,NA,NA,0,"Not Expected At All",2,"Not Mentioned",3,1,"No_Rating",2,2
"frontiers in ecology and evolution",3,"Not Expected At All",2,NA,NA,2,NA,NA,0,"Not Expected At All",3,"Not Mentioned",3,1,"No_Rating",2,2
"frontiers in ecology and the environment",3,"During Peer Review",3,"Mandated",3,4.66666666666667,"5",2,0,"During Peer Review",3,"Mandated",3,4.33333333333333,"4",2,0
"frontiers in forests and global change",3,"Not Expected At All",2,NA,NA,3,NA,NA,1,"Not Expected At All",3,"Not Mentioned",3,1,"No_Rating",2,2
"frontiers in zoology",3,"During Peer Review",2,"Encouraged",2,3,NA,NA,0,"During Peer Review",2,"Mandated",2,3.33333333333333,"3",2,0
"functional ecology",3,"After Acceptance (Post-Publication)",3,"Mandated",3,4.66666666666667,"5",2,0,"After Acceptance (Post-Publication)",2,"Mandated",3,3.33333333333333,NA,NA,0
"fungal diversity",3,"After Acceptance (Post-Publication)",2,"Encouraged",3,4,"5",2,0,"Not Expected At All",2,"Not Mentioned",2,1,"No_Rating",2,2
"fungal ecology",3,"Not Expected At All",2,"Encouraged",3,4,"5",2,0,"Not Expected At All",2,"Encouraged",3,4,"5",2,0
"genome biology and evolution",3,NA,NA,"Mandated",3,4,NA,NA,0,"Not Expected At All",2,"Not Mentioned",2,3,"No_Rating",2,2
"global change biology",3,"After Acceptance (Post-Publication)",2,"Mandated",3,4.33333333333333,"4",2,0,NA,NA,"Mandated",2,4.5,NA,NA,1
"global ecology and biogeography",3,"During Peer Review",3,"Mandated",3,4.66666666666667,"5",2,0,"During Peer Review",3,"Mandated",3,4.5,NA,NA,1
"global ecology and conservation",3,"Unclear",3,"Mandated",3,2.66666666666667,"3",2,0,"Unclear",3,"Mandated",3,2,NA,NA,0
"global environmental change",3,"Unclear",2,"Mandated",3,3,"3",3,0,"Unclear",2,"Mandated",3,2,NA,NA,0
"heredity",3,NA,NA,"Mandated",2,4,NA,NA,0,"Unclear",3,"Mandated",2,3,NA,NA,0
"human-wildlife interactions",3,"Not Expected At All",2,"Not Mentioned",3,1,"No_Rating",2,2,"Not Expected At All",3,"Not Mentioned",3,1,"No_Rating",2,2
"human ecology",3,"Unclear",2,"Encouraged",3,3.66666666666667,NA,NA,0,"Not Expected At All",3,"Not Mentioned",2,1,"No_Rating",2,2
"ideas in ecology and evolution",3,"Not Expected At All",3,"Not Mentioned",3,1,"No_Rating",2,2,"Not Expected At All",3,"Not Mentioned",3,1,"No_Rating",2,2
"insect systematics & evolution",3,"Unclear",2,"Mandated",3,3.33333333333333,NA,NA,0,"Not Expected At All",3,"Not Mentioned",3,1,"No_Rating",2,2
"integrative organismal biology",3,"Unclear",3,"Encouraged",3,4,NA,NA,0,"Unclear",3,"Encouraged",3,3.66666666666667,NA,NA,0
"interciencia",3,"Not Expected At All",3,"Not Mentioned",3,1,"No_Rating",2,2,"Not Expected At All",3,"Not Mentioned",3,1,"No_Rating",2,2
"international journal for parasitology-parasites and wildlife",3,NA,NA,"Encouraged",3,3.33333333333333,"3",2,0,NA,NA,"Encouraged",3,3.33333333333333,"3",2,0
"international journal of ecology & development",3,"Not Expected At All",3,"Not Mentioned",3,NA,NA,NA,0,"Not Expected At All",3,"Not Mentioned",3,NA,NA,NA,0
"international journal of sustainable development and world ecology",3,"During Peer Review",3,"Encouraged",3,4.33333333333333,"4",2,0,NA,NA,"Not Mentioned",2,3,NA,NA,1
"invertebrate systematics",3,"During Peer Review",2,"Encouraged",3,3.5,NA,NA,1,"During Peer Review",2,"Encouraged",3,2.66666666666667,"2",2,0
"isme journal",3,NA,NA,"Encouraged",2,3,NA,NA,0,"Unclear",3,"Not Mentioned",2,1.5,NA,NA,1
"israel journal of ecology & evolution",3,"Not Expected At All",2,"Not Mentioned",2,3,"No_Rating",2,2,"Not Expected At All",2,"Not Mentioned",3,1,"No_Rating",2,2
"journal for nature conservation",3,"Unclear",2,"Mandated",3,2.66666666666667,"2",2,0,"Unclear",2,"Mandated",3,2.66666666666667,"2",2,0
"journal of animal ecology",3,"After Acceptance (Post-Publication)",2,"Mandated",3,3.33333333333333,"3",2,0,"Unclear",2,"Not Mentioned",2,1.5,NA,NA,1
"journal of applied ecology",3,"After Acceptance (Post-Publication)",2,"Mandated",3,3.33333333333333,"3",2,0,"Unclear",2,"Mandated",2,2.5,NA,NA,1
"journal of arid environments",3,NA,NA,"Mandated",3,3,NA,NA,0,NA,NA,"Mandated",3,2.33333333333333,"2",2,0
"journal of avian biology",3,"After Acceptance (Post-Publication)",3,"Mandated",3,3.66666666666667,"4",2,0,NA,NA,NA,NA,2.5,NA,NA,1
"journal of biogeography",3,"During Peer Review",3,"Encouraged",2,4,NA,NA,0,"Unclear",2,"Not Mentioned",2,4,"No_Rating",2,2
"journal of biological dynamics",3,"During Peer Review",3,"Encouraged",3,3.33333333333333,"4",2,0,"Unclear",3,"Not Mentioned",3,1,"No_Rating",2,2
"journal of chemical ecology",3,NA,NA,"Encouraged",3,2.66666666666667,"2",2,0,NA,NA,"Not Mentioned",2,2,"No_Rating",2,2
"journal of comparative physiology b: biochemical, systemic and environmental physiology",3,"During Peer Review",2,"Encouraged",2,3.33333333333333,"3",2,0,"Not Expected At All",2,"Not Mentioned",2,2,"No_Rating",2,2
"journal of ecology",3,"During Peer Review",2,"Mandated",3,4,"4",3,0,"After Acceptance (Post-Publication)",2,"Mandated",3,3.33333333333333,NA,NA,0
"journal of evolutionary biochemistry and physiology",3,"During Peer Review",2,"Encouraged",2,3,"2",2,0,"Not Expected At All",2,"Not Mentioned",2,1.5,NA,NA,1
"journal of evolutionary biology",3,"During Peer Review",2,"Mandated",3,4.66666666666667,"5",2,0,"During Peer Review",2,"Encouraged",2,4.66666666666667,"5",2,0
"journal of experimental biology",3,"During Peer Review",3,"Encouraged",3,3.66666666666667,"3",2,0,"After Acceptance (Post-Publication)",3,"Encouraged",2,4.33333333333333,"5",2,0
"journal of experimental marine biology and ecology",3,"During Peer Review",2,"Mandated",2,3,NA,NA,0,"During Peer Review",2,"Encouraged",2,2.66666666666667,NA,NA,0
"journal of experimental zoology part b-molecular and developmental evolution",3,NA,NA,"Mandated",3,3.33333333333333,NA,NA,0,NA,NA,"Not Mentioned",2,2,"2",2,1
"journal of fish and wildlife management",3,"During Peer Review",3,"Mandated",3,4.33333333333333,"4",2,0,"Not Expected At All",3,"Not Mentioned",3,NA,NA,NA,0
"journal of freshwater ecology",3,"During Peer Review",3,"Mandated",3,4.66666666666667,"5",2,0,"Unclear",2,"Mandated",2,3.33333333333333,NA,NA,0
"journal of heredity",3,"After Acceptance (Post-Publication)",3,"Mandated",3,4,NA,NA,0,"During Peer Review",3,"Encouraged",3,3.33333333333333,"4",2,0
"journal of human evolution",3,"Unclear",2,"Mandated",3,2.66666666666667,"2",2,0,"Unclear",2,"Mandated",2,2.33333333333333,NA,NA,0
"journal of molecular evolution",3,"Unclear",2,"Encouraged",3,3.33333333333333,"4",2,0,"Not Expected At All",3,"Not Mentioned",2,1,"No_Rating",2,2
"journal of natural history",3,"During Peer Review",3,"Encouraged",3,4.33333333333333,"4",2,0,NA,NA,"Not Mentioned",2,3,NA,NA,1
"journal of plant biology",3,"Not Expected At All",2,"Optional for Authors",2,3.33333333333333,NA,NA,0,"Not Expected At All",3,"Not Mentioned",3,NA,NA,NA,0
"journal of plant ecology",3,"Unclear",2,"Encouraged",3,3,NA,NA,0,"Unclear",2,"Encouraged",3,3,NA,NA,0
"journal of soil and water conservation",3,"Unclear",2,"Not Mentioned",2,1.5,NA,NA,1,"Not Expected At All",3,"Not Mentioned",3,1,"No_Rating",2,2
"journal of systematic palaeontology",3,"During Peer Review",3,"Encouraged",2,3.66666666666667,"3",2,0,"Not Expected At All",3,"Not Mentioned",3,1,"No_Rating",2,2
"journal of thermal biology",3,"Unclear",2,NA,NA,2.66666666666667,NA,NA,0,NA,NA,NA,NA,2.5,NA,NA,1
"journal of tropical ecology",3,"Unclear",2,"Encouraged",3,3.33333333333333,"3",2,0,"Unclear",2,"Encouraged",3,3.33333333333333,"3",2,0
"journal of vegetation science",3,"Unclear",2,"Mandated",3,3.66666666666667,"3",2,0,"Unclear",2,"Encouraged",3,3,NA,NA,0
"journal of wildlife and biodiversity",3,"Not Expected At All",2,NA,NA,2,"2",2,1,"Not Expected At All",3,"Not Mentioned",3,NA,NA,NA,0
"journal of wildlife management",3,"Unclear",2,"Encouraged",3,2,"2",3,0,"Not Expected At All",2,"Not Mentioned",3,1,"No_Rating",2,2
"journal of zoological systematics and evolutionary research",3,"Unclear",2,NA,NA,2,"2",2,1,"Not Expected At All",2,"Not Mentioned",2,1,"No_Rating",2,2
"landscape and ecological engineering",3,"Unclear",3,"Encouraged",3,2.66666666666667,"2",2,0,"Not Expected At All",3,"Not Mentioned",2,2,"No_Rating",2,2
"landscape and urban planning",3,"Unclear",3,"Mandated",2,2,NA,NA,0,"Unclear",2,"Mandated",2,2,"2",3,0
"landscape ecology",3,"Not Expected At All",2,"Encouraged",2,2,NA,NA,0,"Not Expected At All",3,"Not Mentioned",2,2,"No_Rating",2,2
