MergeID,Timestamp,Email.Address,Name.of.Reviewer,Name.of.Journal,When.was.the.earliest.the.journal.expected.data.to.be.provided..x,How.strict.is.this.policy...Data.policy.,Provide.the.text.that.mentions.the.above.statement..if.possible..,How.clear.do.you.think.this.statement.is.,Where.was.the.data.policy.located...provide.a.url.to.the.specific.page..if.any.,Any.other.comments.,When.was.the.earliest.the.journal.expected.code.to.be.provided..x,How.strict.is.this.policy...Code.Policy.,Provide.the.text.that.mentions.the.above.statement..if.possible...1,How.clear.do.you.think.this.statement.is..1,Where.was.the.data.policy.located...provide.a.url.to.the.specific.page..if.any..1,Any.other.comments..1
anon_ID_11,10/17/2023 22:47:08,[redacted],[redacted],american journal of physical anthropology,Unclear,Optional for Authors,This journal expects data sharing. (and here is explained what expected means https://authorservices.wiley.com/author-resources/Journal-Authors/open-access/data-sharing-citation/data-sharing-policy.html?_gl=1*mczl3b*_gcl_au*NDkxNjE5MDAuMTY5Mjg4Nzg1MA..),4,https://onlinelibrary.wiley.com/page/journal/26927691/homepage/forauthors.html#_6._EDITORIAL_POLICIES,,Not Expected At All,Not Mentioned,,NA,,
anon_ID_12,10/17/2023 22:49:34,[redacted],[redacted],american midland naturalist,Not Expected At All,Not Mentioned,,NA,,seems journal is not published any more,Not Expected At All,Not Mentioned,,NA,,
anon_ID_13,10/17/2023 22:52:57,[redacted],[redacted],american naturalist,During Peer Review,Mandated,"If your manuscript relies on data or custom written code (simulations, statistical analyses), we require archiving of the data and code prior to submission for review",5,https://www.journals.uchicago.edu/journals/an/instruct#data-checklist,,During Peer Review,Mandated,"If your manuscript relies on data or custom written code (simulations, statistical analyses), we require archiving of the data and code prior to submission for review",5,https://www.journals.uchicago.edu/journals/an/instruct#data-checklist,
anon_ID_14,10/17/2023 22:56:41,[redacted],[redacted],animal behaviour,Unclear,Mandated,"This journal requires and enables you to share data that supports your research publication where appropriate, and enables you to interlink the data with your published articles",4,https://www.sciencedirect.com/journal/animal-behaviour/publish/guide-for-authors,,Unclear,Encouraged,"o facilitate reproducibility and data reuse, this journal also encourages you to share your software, code, models, algorithms, and other useful materials related to the project.",5,https://www.sciencedirect.com/journal/animal-behaviour/publish/guide-for-authors,
anon_ID_15,10/17/2023 23:02:09,[redacted],[redacted],animal biotelemetry,Unclear,Encouraged,"For all journals, BMC strongly encourages that all datasets on which the conclusions of the paper rely should be available to readers, and where there is a community established norm for data sharing, BMC mandates data deposition (for data types with required deposition, see below). ",3,https://www.biomedcentral.com/getpublished/editorial-policies#availability+of+data+and+materials,Slightly unclear if data is mandated or encouraged,During Peer Review,Mandated,Any previously unreported software application or custom code described in the manuscript should be available for testing by editors and reviewers in a way that preserves their anonymity.,4,https://www.biomedcentral.com/getpublished/editorial-policies#availability+of+data+and+materials,
anon_ID_16,11/13/2023 22:50:14,[redacted],[redacted],functional ecology,After Acceptance (Post-Publication),Mandated,"The British Ecological Society thus requires, as a condition for publication, that all data supporting the results in papers published in its journals are archived in an appropriate public archive offering open access and guaranteed preservation. ",5,https://besjournals.onlinelibrary.wiley.com/hub/editorial-policies#archiving,,After Acceptance (Post-Publication),Mandated,For theoretical papers the underlying model code must be archived. New scripts for non-standard data analyses should be archived along with the data in a suitable repository such as Dryad (see our Data archiving policy),3,https://besjournals.onlinelibrary.wiley.com/hub/editorial-policies#archiving,"Not all code has to be archived, but only code for non standard analysis (not sure how they define this)"
anon_ID_17,11/13/2023 22:53:26,[redacted],[redacted],fungal diversity,After Acceptance (Post-Publication),Encouraged,This journal encourages authors to provide an optional statement of data availability in their article.,5,https://www.springer.com/journal/13225/submission-guidelines#Instructions%20for%20Authors_Statements%20&%20Declarations,,Not Expected At All,Not Mentioned,,NA,,
anon_ID_18,11/14/2023 22:15:11,[redacted],[redacted],fungal ecology,Not Expected At All,Encouraged,"This journal encourages and enables you to share data that supports your research publication where appropriate, and enables you to interlink the data with your published articles. ",5,https://www.sciencedirect.com/journal/fungal-ecology/publish/guide-for-authors and,,Not Expected At All,Encouraged,"This journal encourages and enables you to share data that supports your research publication where appropriate, and enables you to interlink the data with your published articles. Research data refers to the results of observations or experimentation that validate research findings, which may also include software, code, models, algorithms, protocols, methods and other useful materials related to the project.",5,https://www.sciencedirect.com/journal/fungal-ecology/publish/guide-for-authors,
anon_ID_19,11/14/2023 22:17:54,[redacted],[redacted],genome biology and evolution,After Acceptance (Post-Publication),Mandated,"GBE requires all authors, where ethically possible, to publicly release all data underlying any published paper as a condition of publication",5,https://academic.oup.com/gbe/pages/General_Instructions#Data,,Not Expected At All,Not Mentioned,,NA,,
anon_ID_20,11/28/2023 21:43:17,[redacted],[redacted],global change biology,After Acceptance (Post-Publication),Mandated,"Global Change Biology requires, as a condition for publication, that the data supporting the results in the paper be archived in an appropriate public repository. Data archiving must be completed before files will be sent to the publisher. Both primary and secondary data needs to be publicly available as a condition for publication.",5,https://onlinelibrary.wiley.com/page/journal/13652486/homepage/forauthors.html,,Not Expected At All,Not Mentioned,,NA,,General data policy does mention 'research artefacts' but this is a very vague term.
anon_ID_21,11/29/2023 19:32:48,[redacted],[redacted],global ecology and biogeography,During Peer Review,Mandated,"Global Ecology and Biogeography supports open research. Therefore, data and code supporting the results in the paper must be accessible during peer review and archived in an appropriate stable public repository for publication. To facilitate appropriate scrutiny during the peer review process, authors are required to provide a link to the data they have used in their data and code availability statement or provide it with their submission�s supplementary materials. They must also cite the data they have shared.",5,https://onlinelibrary.wiley.com/page/journal/14668238/homepage/forauthors.html,,During Peer Review,Mandated,"Global Ecology and Biogeography supports open research. Therefore, data and code supporting the results in the paper must be accessible during peer review and archived in an appropriate stable public repository for publication.......Scripts and software used to generate the analyses presented in the paper should also be publicly archived in a repository. Again, the links should be provided in the data and code availability statement.",5,https://onlinelibrary.wiley.com/page/journal/14668238/homepage/forauthors.html,
anon_ID_22,11/29/2023 19:36:49,[redacted],[redacted],global ecology and conservation,Unclear,Mandated,"This journal requires and enables you to share data that supports your research publication where appropriate, and enables you to interlink the data with your published articles.",3,https://www.sciencedirect.com/journal/global-ecology-and-conservation/publish/guide-for-authors,Unclear what ' when appropriate' means,Unclear,Mandated,"This journal requires and enables you to share data that supports your research publication where appropriate, and enables you to interlink the data with your published articles. Research data refers to the results of observations or experimentation that validate research findings, which may also include software, code, models, algorithms, protocols, methods and other useful materials related to the project.",1,https://www.sciencedirect.com/journal/global-ecology-and-conservation/publish/guide-for-authors,
anon_ID_23,11/29/2023 19:39:03,[redacted],[redacted],global environmental change,Unclear,Mandated,"This journal requires and enables you to share data that supports your research publication where appropriate, and enables you to interlink the data with your published articles.",3,https://www.sciencedirect.com/journal/global-environmental-change/publish/guide-for-authors,Unclear meaning of 'where appropriate',Unclear,Mandated,"This journal requires and enables you to share data that supports your research publication where appropriate, and enables you to interlink the data with your published articles. Research data refers to the results of observations or experimentation that validate research findings, which may also include software, code, models, algorithms, protocols, methods and other useful materials related to the project.",1,https://www.sciencedirect.com/journal/global-environmental-change/publish/guide-for-authors,
anon_ID_24,11/29/2023 19:46:42,[redacted],[redacted],heredity,During Peer Review,Encouraged,"An inherent principle of publication is that others should be able to replicate and build upon the authors' published claims. We strongly encourage that all datasets on which the conclusions of the paper rely should be available to readers. AND The journal strongly encourages that all datasets on which the conclusions of the paper rely be available to 
reviewers and readers. AND Heredity subscribes to the Joint Data Archiving Policy which mandates that the primary data on which a study is based is archived in a public repository.",4,https://www.nature.com/hdy/authors-and-referees/policies AND https://www.nature.com/documents/aj-research-data-policy-type-3.pdf AND https://www.nature.com/hdy/authors-and-referees/gta,Data archiving requirements seem not to be consistent between 'Editorial policy' (encouraged) and ''Guide to authors' (required),Unclear,Optional for Authors,"Where a paper describes new simulations or analytical methods, Heredity requires authors to make any relevant software publicly available, wherever possible.",2,https://www.nature.com/hdy/authors-and-referees/gta,Code seems to be required only when paper describes new simulations or analytical methods
anon_ID_25,11/29/2023 19:50:20,[redacted],[redacted],human-wildlife interactions,Not Expected At All,Not Mentioned,,NA,,,Not Expected At All,Not Mentioned,,NA,,
anon_ID_26,11/29/2023 19:48:50,[redacted],[redacted],human ecology,Unclear,Encouraged,Sharing of all relevant research data is strongly encouraged and authors must add a Data Availability Statement to original research articles.,4,https://link.springer.com/journal/10745/submission-guidelines#contents,,Not Expected At All,Not Mentioned,,NA,,
anon_ID_27,11/29/2023 19:52:09,[redacted],[redacted],ideas in ecology and evolution,Not Expected At All,Not Mentioned,,NA,,Journal does not seem to have data based articles,Not Expected At All,Not Mentioned,,NA,,Journal does not seem to have analysis based articles
anon_ID_28,11/29/2023 19:55:59,[redacted],[redacted],insect systematics & evolution,Unclear,Mandated,"Authors are required to deposit type and voucher specimens in an established, permanent collection 
and to note in the published article that the expected deposition has been made, its location, and the 
collection accession number. Type specimen localities must include geographic coordinates. Authors are required to include GenBank/EMBL accession numbers for nucleotide and amino acid 
sequence data. The accession number may be included in the original manuscript or the sequence may 
be provided for review and an accession number provided when the manuscript is revised.",5,https://brill.com/view/journals/ise/ise-overview.xml?contents=artsub (there is a instruction download link),"Data deposition seems to be mandated only for two types of data (Type and Voucher Specimen Deposition, Sequence Data Deposition), and not mentioned for other data",Not Expected At All,Not Mentioned,,NA,,
anon_ID_29,11/29/2023 19:58:10,[redacted],[redacted],integrative organismal biology,Unclear,Encouraged,"Where ethically feasible, Integrative Organismal Biology strongly encourages authors to make all data and software code on which the conclusions of the paper rely available to readers. Authors are required to include a Data Availability Statement in their article.",4,https://academic.oup.com/iob/pages/General_Instructions,,Unclear,Encouraged,"Where ethically feasible, Integrative Organismal Biology strongly encourages authors to make all data and software code on which the conclusions of the paper rely available to readers. Authors are required to include a Data Availability Statement in their article.",4,https://academic.oup.com/iob/pages/General_Instructions,
anon_ID_30,11/29/2023 19:59:36,[redacted],[redacted],interciencia,Not Expected At All,Not Mentioned,,NA,,,Not Expected At All,Not Mentioned,,NA,,
anon_ID_31,1/09/2024 5:10,[redacted],[redacted],rangeland journal,Not Expected At All,Encouraged,CSIRO Publishing encourages authors to share the research data underlying their papers to support transparency and reproducibility of research.,5,https://www.publish.csiro.au/rj/forauthors/AuthorInstructions#1,,Not Expected At All,Not Mentioned,,NA,,
anon_ID_32,1/09/2024 5:15,[redacted],[redacted],regional studies in marine science,After Acceptance (Post-Publication),Mandated,"This journal requires and enables you to share data that supports your research publication where appropriate, and enables you to interlink the data with your published articles.",4,https://www.sciencedirect.com/journal/regional-studies-in-marine-science/publish/guide-for-authors,,After Acceptance (Post-Publication),Mandated,"This journal requires and enables you to share data that supports your research publication where appropriate, and enables you to interlink the data with your published articles. Research data refers to the results of observations or experimentation that validate research findings, which may also include software, code, models, algorithms, protocols, methods and other useful materials related to the project.",3,https://www.sciencedirect.com/journal/regional-studies-in-marine-science/publish/guide-for-authors,
anon_ID_33,1/09/2024 5:27,[redacted],[redacted],remote sensing,After Acceptance (Post-Publication),Encouraged,We encourage all authors of articles published in MDPI journals to share their research data.,4,https://www.mdpi.com/journal/remotesensing/instructions#suppmaterials,,After Acceptance (Post-Publication),Mandated,"For work where novel computer code was developed, authors should release the code either by depositing in a recognized, public repository such as GitHub or uploading as supplementary information to the publication.",3,https://www.mdpi.com/journal/remotesensing/instructions#suppmaterials,Unclear what constitutes a novel computer code
anon_ID_34,1/09/2024 5:31,[redacted],[redacted],remote sensing in ecology and conservation,After Acceptance (Post-Publication),Mandated,Remote Sensing in Ecology and Conservation expects that data supporting the results in the paper will be archived in an appropriate public repository.,3,https://zslpublications.onlinelibrary.wiley.com/hub/journal/20563485/author-guidelines,Unclear meaning of 'expects',After Acceptance (Post-Publication),Mandated,Whenever possible the scripts and other artefacts used to generate the analyses presented in the paper should also be publicly archived.,3,https://zslpublications.onlinelibrary.wiley.com/hub/journal/20563485/author-guidelines,Unclear meaning of 'whenever possible'
anon_ID_35,1/09/2024 5:34,[redacted],[redacted],restoration ecology,After Acceptance (Post-Publication),Encouraged,This journal expects data sharing.,5,https://onlinelibrary.wiley.com/page/journal/1526100x/homepage/forauthors.html and https://authorservices.wiley.com/author-resources/Journal-Authors/open-access/data-sharing-citation/data-sharing-policy.html?_gl=1*x06rkr*_gcl_au*MjA0NDkwMjMyMC4xNzA0NzM4NTIz,,Not Expected At All,Not Mentioned,,NA,,
anon_ID_36,1/09/2024 5:40,[redacted],[redacted],reviews in fish biology and fisheries,After Acceptance (Post-Publication),Encouraged,Sharing of all relevant research data is strongly encouraged and authors must add a Data Availability Statement to original research articles.,5,https://link.springer.com/journal/11160/submission-guidelines#Instructions%20for%20Authors_Research%20Data%20Policy%20and%20Data%20Availability%20Statements,,Not Expected At All,Not Mentioned,,NA,,
anon_ID_37,1/09/2024 5:37,[redacted],[redacted],revista chilena de historia natural,Unclear,Not Mentioned,,NA,,seems that the last issue was published in 2013,Unclear,Not Mentioned,,NA,,
anon_ID_38,1/09/2024 5:49,[redacted],[redacted],russian journal of biological invasions,Not Expected At All,Not Mentioned,,NA,,,Not Expected At All,Not Mentioned,,NA,,
anon_ID_39,1/09/2024 5:52,[redacted],[redacted],russian journal of ecology,Not Expected At All,Not Mentioned,,NA,,,Not Expected At All,Not Mentioned,,NA,,
anon_ID_40,1/09/2024 5:58,[redacted],[redacted],science,During Peer Review,Mandated,"As outlined in the TOP guidelines above, the Science journals generally require all data underlying the results in published papers to be publicly and immediately available.",5,https://www.science.org/content/page/science-journals-editorial-policies#data-and-code-deposition,,Unclear,Mandated,"When custom computational methods go beyond simple fitting routines or common algorithms that can be described succinctly in plain English, the underlying code should likewise be deposited in a permanent repository such as Zenodo or Code Ocean.",4,https://www.science.org/content/page/science-journals-editorial-policies#data-and-code-deposition,
anon_ID_41,1/11/2024 2:35,[redacted],[redacted],science advances,Unclear,Mandated,All data used in the analysis must be available to any researcher for purposes of reproducing or extending the analysis.,5,https://www.science.org/content/page/science-journals-editorial-policies#research-standards,,Unclear,Mandated,"In general, all computer code central to the findings being reported should be available to readers to ensure reproducibility. If the software used is commercially available or the source code is already publicly archived, it should be referenced in an appropriately formatted citation (with the version included, if necessary for accurate replication). Author-written source code that is not yet publicly available should be archived in a permanent public repository prior to publication and likewise cited",4,https://www.science.org/content/page/science-journals-editorial-policies#research-standards,
anon_ID_42,1/11/2024 2:41,[redacted],[redacted],science of the total environment,After Acceptance (Post-Publication),Mandated,"This journal requires and enables you to share data that supports your research publication where appropriate, and enables you to interlink the data with your published articles.",5,https://www.sciencedirect.com/journal/science-of-the-total-environment/publish/guide-for-authors,,Unclear,Optional for Authors,"This journal requires and enables you to share data that supports your research publication where appropriate, and enables you to interlink the data with your published articles. Research data refers to the results of observations or experimentation that validate research findings, which may also include software, code, models, algorithms, protocols, methods and other useful materials related to the project.",3,https://www.sciencedirect.com/journal/science-of-the-total-environment/publish/guide-for-authors,
anon_ID_43,1/11/2024 3:03,[redacted],[redacted],scientific reports,During Peer Review,Encouraged,Supporting data must be made available to Editorial Board Members and referees at the time of submission for the purposes of evaluating the manuscript......The journal strongly encourages that all datasets on which the conclusions of the paper rely should be available to readers.,4,https://www.nature.com/srep/journal-policies/editorial-policies#availability,"Seems that data must be provided for reviewers, but not for readers",During Peer Review,Mandated,"For all studies using custom code or mathematical algorithm that is central to the conclusions, authors must provide any previously unreported custom computer code or algorithm used to generate results upon editor or reviewer request.",3,https://www.nature.com/srep/journal-policies/editorial-policies#availability,Unclear what is considered under 'custom code'
anon_ID_44,1/11/2024 3:06,[redacted],[redacted],soil ecology letters,During Peer Review,On Reviewer Request,"Authors may be asked to provide the raw data in connection with a paper for editorial review, 
and should be prepared to provide public access to such data, if practicable, and should in any event be prepared to retain such data for a reasonable time after publication.",3,https://www.springer.com/journal/42832/submission-guidelines,,Not Expected At All,Not Mentioned,,NA,,
anon_ID_45,1/11/2024 3:10,[redacted],[redacted],south of russia-ecology development,Not Expected At All,Not Mentioned,,NA,,,Not Expected At All,Not Mentioned,,NA,,
anon_ID_46,1/12/2024 21:33,[redacted],[redacted],southeastern naturalist,Not Expected At All,Not Mentioned,,NA,,,Not Expected At All,Not Mentioned,,NA,,
anon_ID_47,1/12/2024 21:43,[redacted],[redacted],southwestern naturalist,Not Expected At All,Not Mentioned,,NA,,,Not Expected At All,Not Mentioned,,NA,,
anon_ID_48,1/12/2024 21:49,[redacted],[redacted],systematic biology,During Peer Review,Mandated,All datasets used in the research for the manuscript must be made available to reviewers unless the data are already published elsewhere.,5,https://academic.oup.com/sysbio/pages/General_Instructions,It seems that making data open is not a requirement for a publication. According to this https://academic.oup.com/pages/open-research/research-data?login=true#data2 it might be encouraged?,Not Expected At All,Not Mentioned,,NA,,"They do require new software to be open source, web-distributed and free to non-commercial users. But no mention of general code"
anon_ID_49,1/12/2024 21:52,[redacted],[redacted],systematic botany,Unclear,Mandated,"DNA sequences must be submitted to GenBank and the accession numbers must be 
provided in a table or appendix. Data files, such as DNA sequence alignments and morphological 
character matrices must be submitted to Dryad (http://datadryad.org/).",3,https://www.aspt.net/publications/sysbot/ (link to a PDF),unclear if this is only about DNA sequence data,Not Expected At All,Not Mentioned,,NA,,
anon_ID_50,1/12/2024 21:56,[redacted],[redacted],systematic entomology,Unclear,Mandated,"Systematic Entomology mandates data sharing. Review Wiley�s Data Sharing policy where you will be able to see and select the data availability statement that is right for your submission.

Systematic Entomology requires you to archive all the data from which your published results are derived in a public repository.",5,https://resjournals.onlinelibrary.wiley.com/hub/journal/13653113/homepage/forauthors.html,,Not Expected At All,Not Mentioned,,NA,,
anon_ID_51,1/12/2024 21:59,[redacted],[redacted],taxon,Unclear,Mandated,"DNA or protein sequences must be deposited in public data bases (GenBank, EMBL, etc.), and accession numbers must be given either in the Materials and Methods, when a few, or in a separate Appendix.",5,https://onlinelibrary.wiley.com/page/journal/19968175/homepage/author-guidelines#edpoliciesandconsid,"They only mandate deposition of DNA or protein sequences, but I guess that is the only data used by articles",Not Expected At All,Not Mentioned,,NA,,
anon_ID_52,1/23/2024 3:53:23,[redacted],[redacted],theoretical and applied ecology,Not Expected At All,Not Mentioned,,NA,,,Not Expected At All,Not Mentioned,,NA,,
anon_ID_53,1/23/2024 3:57:55,[redacted],[redacted],theoretical ecology,Unclear,Encouraged,Sharing of all relevant research data is strongly encouraged,5,https://link.springer.com/journal/12080/submission-guidelines,,Not Expected At All,Not Mentioned,,NA,,
anon_ID_54,1/23/2024 4:01:43,[redacted],[redacted],theoretical population biology,After Acceptance (Post-Publication),Mandated,"This journal requires and enables you to share data that supports your research publication where appropriate, and enables you to interlink the data with your published articles.",2,https://www.sciencedirect.com/journal/theoretical-population-biology/publish/guide-for-authors,Unclear meaning of 'where appropriate',After Acceptance (Post-Publication),Mandated,"This journal requires and enables you to share data that supports your research publication where appropriate, and enables you to interlink the data with your published articles. Research data refers to the results of observations or experimentation that validate research findings, which may also include software, code, models, algorithms, protocols, methods and other useful materials related to the project.",2,https://www.sciencedirect.com/journal/theoretical-population-biology/publish/guide-for-authors,Unclear meaning of 'where appropriate' and of 'may include'
anon_ID_55,1/23/2024 4:06:42,[redacted],[redacted],trends in ecology & evolution,After Acceptance (Post-Publication),Mandated,"Data sets must be freely available to readers from the date of publication. To help interested readers, please include appropriate data identifiers for the data used, including accession numbers whenever possible. Common types of data and the associated public database(s) are listed below.",4,https://www.cell.com/trends/editorial-policies,,Not Expected At All,Not Mentioned,,NA,,
anon_ID_56,1/23/2024 22:45:41,[redacted],[redacted],tropical ecology,Not Expected At All,Not Mentioned,,NA,,,Not Expected At All,Not Mentioned,,NA,,
anon_ID_57,1/23/2024 22:47:02,[redacted],[redacted],tropics,Not Expected At All,Not Mentioned,,NA,,,Not Expected At All,Not Mentioned,,NA,,
anon_ID_58,1/23/2024 23:12:50,[redacted],[redacted],urban ecosystems,Unclear,Encouraged,Sharing of all relevant research data is strongly encouraged and authors must add a Data Availability Statement to original research articles.,5,https://link.springer.com/journal/11252/submission-guidelines,,Not Expected At All,Not Mentioned,,NA,,
anon_ID_59,1/23/2024 23:14:32,[redacted],[redacted],vestnik tomskogo gosudarstvennogo universiteta-biologiya,Not Expected At All,Not Mentioned,,NA,,,Not Expected At All,Not Mentioned,,NA,,
anon_ID_60,1/23/2024 23:16:08,[redacted],[redacted],vie et milieu-life and environment,Not Expected At All,Not Mentioned,,NA,,,Not Expected At All,Not Mentioned,,NA,,
anon_ID_61,1/23/2024 23:20:12,[redacted],[redacted],web ecology,After Acceptance (Post-Publication),Mandated,"Therefore, Copernicus Publications requests depositing data that correspond to journal articles in reliable (public) data repositories, assigning digital object identifiers, and properly citing data sets as individual contributions.",5,https://www.web-ecology.net/policies/data_policy.html,,Unclear,Encouraged,"Data do not comprise the only information which is important in the context of reproducibility. Therefore, Copernicus Publications encourages authors to also deposit software, algorithms, model code, video supplements, video abstracts, International Geo Sample Numbers, and other underlying material on suitable FAIR-aligned repositories/archives whenever possible. These materials should be referenced in the article and cited via a persistent identifier such as a DOI.",5,https://www.web-ecology.net/policies/data_policy.html,
anon_ID_62,1/23/2024 23:21:14,[redacted],[redacted],western north american naturalist,Not Expected At All,Not Mentioned,,NA,,,Not Expected At All,Not Mentioned,,NA,,
anon_ID_63,1/23/2024 23:23:04,[redacted],[redacted],wetlands,Unclear,Encouraged,The journal strongly encourages that all datasets on which the conclusions of the paper rely should be available to readers. We encourage authors to ensure that their datasets are either deposited in publicly available repositories (where available and appropriate) or presented in the main manuscript or additional supporting files whenever possible.,5,https://link.springer.com/journal/13157/submission-guidelines,,Not Expected At All,Not Mentioned,,NA,,
anon_ID_64,1/23/2024 23:24:21,[redacted],[redacted],wetlands ecology and management,After Acceptance (Post-Publication),Encouraged,Sharing of all relevant research data is strongly encouraged and authors must add a Data Availability Statement to original research articles.,5,https://link.springer.com/journal/11273/submission-guidelines,,Not Expected At All,Not Mentioned,,NA,,
anon_ID_65,1/23/2024 23:26:38,[redacted],[redacted],wildlife biology,After Acceptance (Post-Publication),Mandated,"As part of the NSO publishing policy, authors of Wildlife Biology are required to deposit the data supporting the results in the paper in an appropriate publicly accessible archive",5,https://www.wildlifebiology.org/authors/author-guidelines-0,,Not Expected At All,Not Mentioned,,NA,,
anon_ID_66,1/23/2024 23:29:37,[redacted],[redacted],wildlife monographs,Unclear,Mandated,"Editors of TWS journals expect authors to share their data and offer artifacts supporting their 
results in manuscripts by archiving them in an appropriate public repository.",3,https://wildlife.org/get-published/ (link to the PDF),unclear meaning of 'expect',Not Expected At All,Not Mentioned,,NA,,
anon_ID_67,1/23/2024 23:31:59,[redacted],[redacted],wildlife research,After Acceptance (Post-Publication),Encouraged,CSIRO Publishing encourages authors to share the research data underlying their papers to support transparency and reproducibility of research.,5,https://www.publish.csiro.au/wr/PublishingPolicies#6,,After Acceptance (Post-Publication),Encouraged,"CSIRO Publishing encourages authors to share the research data underlying their papers to support transparency and reproducibility of research........Research data types differ depending on field and may include, but are not limited to, raw or processed data, software, code, models, methods, materials.",5,https://www.publish.csiro.au/wr/PublishingPolicies#6,
