subset_number,Journal,assigned_to_email,notes
9,frontiers in ecology and evolution,[redacted],
9,frontiers in ecology and the environment,[redacted],
9,frontiers in forests and global change,[redacted],
9,frontiers in zoology,[redacted],
10,functional ecology,[redacted],
10,fungal diversity,[redacted],
10,fungal ecology,[redacted],
10,genome biology and evolution,[redacted],
10,global change biology,[redacted],
10,global ecology and biogeography,[redacted],
10,global ecology and conservation,[redacted],
10,global environmental change,[redacted],
10,heredity,[redacted],
10,human ecology,[redacted],
10,human-wildlife interactions,[redacted],
10,ideas in ecology and evolution,[redacted],
10,insect systematics & evolution,[redacted],
10,integrative organismal biology,[redacted],
10,interciencia,[redacted],
11,international journal for parasitology-parasites and wildlife,[redacted],
11,international journal of ecology & development,[redacted],
11,international journal of sustainable development and world ecology,[redacted],
11,invertebrate systematics,[redacted],
11,isme journal,[redacted],
11,israel journal of ecology & evolution,[redacted],
11,journal for nature conservation,[redacted],
11,journal of animal ecology,[redacted],
11,journal of applied ecology,[redacted],
11,journal of arid environments,[redacted],
11,journal of avian biology,[redacted],
11,journal of biogeography,[redacted],
11,journal of biological dynamics,[redacted],
11,journal of chemical ecology,[redacted],
11,"journal of comparative physiology b: biochemical, systemic and environmental physiology",[redacted],
12,journal of ecology,[redacted],
12,journal of evolutionary biochemistry and physiology,[redacted],
12,journal of evolutionary biology,[redacted],
12,journal of experimental biology,[redacted],
12,journal of experimental marine biology and ecology,[redacted],
12,journal of experimental zoology part b-molecular and developmental evolution,[redacted],
12,journal of fish and wildlife management,[redacted],
12,journal of freshwater ecology,[redacted],
12,journal of heredity,[redacted],
12,journal of human evolution,[redacted],
12,journal of molecular evolution,[redacted],
12,journal of natural history,[redacted],
12,journal of plant biology,[redacted],
12,journal of plant ecology,[redacted],
12,journal of soil and water conservation,[redacted],
13,journal of systematic palaeontology,[redacted],
13,journal of thermal biology,[redacted],
13,journal of tropical ecology,[redacted],
13,journal of vegetation science,[redacted],
13,journal of wildlife and biodiversity,[redacted],
13,journal of wildlife management,[redacted],
13,journal of zoological systematics and evolutionary research,[redacted],
13,landscape and ecological engineering,[redacted],
13,landscape and urban planning,[redacted],
13,landscape ecology,[redacted],
13,limnology and oceanography,[redacted],
13,mammal review,[redacted],
13,marine biology,[redacted],
13,marine biology research,[redacted],
13,marine ecology progress series,[redacted],
14,methods in ecology and evolution,[redacted],
14,microbial ecology,[redacted],
14,molecular biology and evolution,[redacted],
14,molecular ecology,[redacted],
14,molecular ecology resources,[redacted],
14,molecular phylogenetics and evolution,[redacted],
14,movement ecology,[redacted],
14,natural areas journal,[redacted],
14,natural history,[redacted],
14,nature,[redacted],
14,nature climate change,[redacted],
14,nature communications,[redacted],
14,nature ecology & evolution,[redacted],
14,nature ecology and evolution,[redacted],
14,neobiota,[redacted],
15,neotropical biodiversity,[redacted],
15,new phytologist,[redacted],
15,new zealand journal of ecology,[redacted],
15,northeastern naturalist,[redacted],
15,northwest science,[redacted],
15,oecologia,[redacted],
15,oikos,[redacted],
15,organisms diversity & evolution,[redacted],
15,oryx,[redacted],
15,paleobiology,[redacted],
15,pedobiologia,[redacted],
15,people and nature,[redacted],
15,perspectives in plant ecology evolution and systematics,[redacted],
15,philosophical transactions of the royal society b: biological sciences,[redacted],
15,phytocoenologia,[redacted],
16,"plankton biology and ecology ( ""plankton biology and ecology"" has changed name to ""plankton and benthos research"" in 2006)",[redacted],
16,plant biology,[redacted],
16,plant ecology,[redacted],
16,plant ecology and diversity,[redacted],
16,plant physiology,[redacted],
16,plant species biology,[redacted],
16,plant systematics and evolution,[redacted],
16,plants people planet,[redacted],
16,plos biology,[redacted],
16,polar biology,[redacted],
16,polar record,[redacted],
16,polar research,[redacted],
16,polar science,[redacted],
16,polish journal of ecology,[redacted],
16,polish polar research,[redacted],
17,population ecology,[redacted],
17,proceedings of the academy of natural sciences of philadelphia,[redacted],
17,proceedings of the linnean society of new south wales,[redacted],
17,proceedings of the national academy of sciences: usa,[redacted],
17,proceedings of the royal society b-biological sciences,[redacted],
17,rangeland ecology & management,[redacted],
17,rangeland journal,[redacted],
17,regional studies in marine science,[redacted],
17,remote sensing,[redacted],
17,remote sensing in ecology and conservation,[redacted],
17,restoration ecology,[redacted],
17,reviews in fish biology and fisheries,[redacted],
17,revista chilena de historia natural,[redacted],
17,russian journal of biological invasions,[redacted],
17,russian journal of ecology,[redacted],
18,science,[redacted],
18,science advances,[redacted],
18,science of the total environment,[redacted],
18,scientific reports,[redacted],
18,soil ecology letters,[redacted],
18,south of russia-ecology development,[redacted],
18,southeastern naturalist,[redacted],
18,southwestern naturalist,[redacted],
18,systematic biology,[redacted],
18,systematic botany,[redacted],
18,systematic entomology,[redacted],
18,taxon,[redacted],
18,theoretical and applied ecology,[redacted],
18,theoretical ecology,[redacted],
18,theoretical population biology,[redacted],
19,trends in ecology & evolution,[redacted],
19,tropical ecology,[redacted],
19,tropics,[redacted],
19,urban ecosystems,[redacted],
19,vestnik tomskogo gosudarstvennogo universiteta-biologiya,[redacted],
19,vie et milieu-life and environment,[redacted],
19,web ecology,[redacted],
19,western north american naturalist,[redacted],
19,wetlands,[redacted],
19,wetlands ecology and management,[redacted],
19,wildlife biology,[redacted],
19,wildlife monographs,[redacted],
19,wildlife research,[redacted],
19,zoologica scripta,[redacted],
20,acta amazonica,[redacted],
20,acta ethologica,[redacted],
20,acta oecologica-international journal of ecology,[redacted],
20,advances in ecological research,[redacted],
20,african journal of ecology,[redacted],
20,african journal of range & forage science,[redacted],
20,african journal of wildlife research,[redacted],
20,agriculture ecosystems & environment,[redacted],
20,alpine botany,[redacted],
20,ambient science,[redacted],
20,american journal of physical anthropology,[redacted],
20,american midland naturalist,[redacted],
20,american naturalist,[redacted],
20,animal behaviour,[redacted],
20,animal biotelemetry,[redacted],
21,animal conservation,[redacted],
21,annales zoologici fennici,[redacted],
21,annals of botany,[redacted],
21,annual review of animal biosciences,[redacted],
21,annual review of ecology evolution and systematics,[redacted],
21,annual review of entomology,[redacted],
21,anthropocene,[redacted],
21,anthropological science,[redacted],
21,aob plants,[redacted],
21,applied ecology and environmental research,[redacted],
21,applied soil ecology,[redacted],
21,applied vegetation science,[redacted],
21,aquatic ecology,[redacted],
21,aquatic invasions,[redacted],
21,aquatic microbial ecology,[redacted],
22,aquatic toxicology,[redacted],
22,arctic science,[redacted],
22,arid ecosystems,[redacted],
22,austral ecology,[redacted],
22,australian journal of botany,[redacted],
22,australian systematic botany,[redacted],
22,avian conservation and ecology,[redacted],
22,basic and applied ecology,[redacted],
22,behavior research methods,[redacted],
22,behavioral ecology,[redacted],
22,behavioral ecology and sociobiology,[redacted],
22,biochemical systematics and ecology,[redacted],
22,biodiversity and conservation,[redacted],
22,biogeosciences,[redacted],
22,biological conservation,[redacted],
23,biological invasions,[redacted],
23,biological journal of the linnean society,[redacted],
23,biological reviews,[redacted],
23,biology letters,[redacted],
23,biology open,[redacted],
23,biosystems diversity,[redacted],
23,biotropica,[redacted],
23,bird conservation international,[redacted],
23,bmc ecology,[redacted],
23,bmc ecology and evolution,[redacted],
23,bmc evolutionary biology,[redacted],
23,bulletin of the american museum of natural history,[redacted],
23,bulletin of the peabody museum of natural history,[redacted],
23,chemistry and ecology,[redacted],
23,chemoecology,[redacted],
24,cladistics,[redacted],
24,communications biology,[redacted],
24,community ecology,[redacted],
24,compost science & utilization,[redacted],
24,conservation biology,[redacted],
24,conservation letters,[redacted],
24,conservation physiology,[redacted],
24,contemporary problems of ecology,[redacted],
24,current biology,[redacted],
24,current opinion in insect science,[redacted],
24,development genes and evolution,[redacted],
24,diversity and distributions,[redacted],
24,diversity-basel,[redacted],
24,eco mont-journal on protected mountain areas research,[redacted],
24,ecography,[redacted],
25,ecohydrology,[redacted],
25,ecohydrology & hydrobiology,[redacted],
25,ecologia aplicada,[redacted],
25,ecological applications,[redacted],
25,ecological complexity,[redacted],
25,ecological economics,[redacted],
25,ecological engineering,[redacted],
25,ecological indicators,[redacted],
25,ecological informatics,[redacted],
25,ecological management & restoration,[redacted],
25,ecological modelling,[redacted],
25,ecological monographs,[redacted],
25,ecological processes,[redacted],
25,ecological questions,[redacted],
25,ecological research,[redacted],
26,ecological restoration,[redacted],
26,ecology,[redacted],
26,ecology and evolution,[redacted],
26,ecology and society,[redacted],
26,ecology letters,[redacted],
26,"ecology, environment and conservation",[redacted],
26,ecoscience,[redacted],
26,ecosistemas,[redacted],
26,ecosphere,[redacted],
26,ecosystem health and sustainability,[redacted],
26,ecosystem services,[redacted],
26,ecosystems,[redacted],
26,ecotoxicology,[redacted],
26,elife,[redacted],
26,environmental biology of fishes,[redacted],
27,environmental evidence,[redacted],
27,environmental pollution,[redacted],
27,ethology,[redacted],
27,"ethology, ecology and evolution",[redacted],
27,european journal of soil biology,[redacted],
27,european journal of wildlife research,[redacted],
27,evodevo,[redacted],
27,evolution,[redacted],
27,evolution & development,[redacted],
27,evolution and development,[redacted],
27,evolution letters,[redacted],
27,evolution medicine and public health,[redacted],
27,evolutionary applications,[redacted],
27,evolutionary bioinformatics,[redacted],
27,evolutionary biology,[redacted],
28,evolutionary ecology,[redacted],
28,evolutionary ecology research,[redacted],
28,fems microbiology ecology,[redacted],
28,fire ecology,[redacted],
28,fire-switzerland,[redacted],
28,fish and fisheries,[redacted],
28,flora,[redacted],
28,folia oecologica,[redacted],
28,food webs,[redacted],
28,freshwater biology,[redacted],
28,freshwater science,[redacted],
28,frontiers in ecology and evolution,[redacted],
28,frontiers in ecology and the environment,[redacted],
28,frontiers in forests and global change,[redacted],
28,frontiers in zoology,[redacted],
29,functional ecology,[redacted],
29,fungal diversity,[redacted],
29,fungal ecology,[redacted],
29,genome biology and evolution,[redacted],
29,global change biology,[redacted],
29,global ecology and biogeography,[redacted],
29,global ecology and conservation,[redacted],
29,global environmental change,[redacted],
29,heredity,[redacted],
29,human ecology,[redacted],
29,human-wildlife interactions,[redacted],
29,ideas in ecology and evolution,[redacted],
29,insect systematics & evolution,[redacted],
29,integrative organismal biology,[redacted],
29,interciencia,[redacted],
30,international journal for parasitology-parasites and wildlife,[redacted],
30,international journal of ecology & development,[redacted],
30,international journal of sustainable development and world ecology,[redacted],
30,invertebrate systematics,[redacted],
30,isme journal,[redacted],
30,israel journal of ecology & evolution,[redacted],
30,journal for nature conservation,[redacted],
30,journal of animal ecology,[redacted],
30,journal of applied ecology,[redacted],
30,journal of arid environments,[redacted],
30,journal of avian biology,[redacted],
30,journal of biogeography,[redacted],
30,journal of biological dynamics,[redacted],
30,journal of chemical ecology,[redacted],
30,"journal of comparative physiology b: biochemical, systemic and environmental physiology",[redacted],
31,journal of ecology,[redacted],
31,journal of evolutionary biochemistry and physiology,[redacted],
31,journal of evolutionary biology,[redacted],
31,journal of experimental biology,[redacted],
31,journal of experimental marine biology and ecology,[redacted],
31,journal of experimental zoology part b-molecular and developmental evolution,[redacted],
31,journal of fish and wildlife management,[redacted],
31,journal of freshwater ecology,[redacted],
31,journal of heredity,[redacted],
31,journal of human evolution,[redacted],
31,journal of molecular evolution,[redacted],
31,journal of natural history,[redacted],
31,journal of plant biology,[redacted],
31,journal of plant ecology,[redacted],
31,journal of soil and water conservation,[redacted],
32,journal of systematic palaeontology,[redacted],
32,journal of thermal biology,[redacted],
32,journal of tropical ecology,[redacted],
32,journal of vegetation science,[redacted],
32,journal of wildlife and biodiversity,[redacted],
32,journal of wildlife management,[redacted],
32,journal of zoological systematics and evolutionary research,[redacted],
32,landscape and ecological engineering,[redacted],
32,landscape and urban planning,[redacted],
32,landscape ecology,[redacted],
32,limnology and oceanography,[redacted],
32,mammal review,[redacted],
32,marine biology,[redacted],
32,marine biology research,[redacted],
32,marine ecology progress series,[redacted],
33,methods in ecology and evolution,[redacted],
33,microbial ecology,[redacted],
33,molecular biology and evolution,[redacted],
33,molecular ecology,[redacted],
33,molecular ecology resources,[redacted],
33,molecular phylogenetics and evolution,[redacted],
33,movement ecology,[redacted],
33,natural areas journal,[redacted],
33,natural history,[redacted],
33,nature,[redacted],
33,nature climate change,[redacted],
33,nature communications,[redacted],
33,nature ecology & evolution,[redacted],
33,nature ecology and evolution,[redacted],
33,neobiota,[redacted],
34,neotropical biodiversity,[redacted],
34,new phytologist,[redacted],
34,new zealand journal of ecology,[redacted],
34,northeastern naturalist,[redacted],
34,northwest science,[redacted],
34,oecologia,[redacted],
34,oikos,[redacted],
34,organisms diversity & evolution,[redacted],
34,oryx,[redacted],
34,paleobiology,[redacted],
34,pedobiologia,[redacted],
34,people and nature,[redacted],
34,perspectives in plant ecology evolution and systematics,[redacted],
34,philosophical transactions of the royal society b: biological sciences,[redacted],
34,phytocoenologia,[redacted],
35,"plankton biology and ecology ( ""plankton biology and ecology"" has changed name to ""plankton and benthos research"" in 2006)",[redacted],
35,plant biology,[redacted],
35,plant ecology,[redacted],
35,plant ecology and diversity,[redacted],
35,plant physiology,[redacted],
35,plant species biology,[redacted],
35,plant systematics and evolution,[redacted],
35,plants people planet,[redacted],
35,plos biology,[redacted],
35,polar biology,[redacted],
35,polar record,[redacted],
35,polar research,[redacted],
35,polar science,[redacted],
35,polish journal of ecology,[redacted],
35,polish polar research,[redacted],
36,population ecology,[redacted],
36,proceedings of the academy of natural sciences of philadelphia,[redacted],
36,proceedings of the linnean society of new south wales,[redacted],
36,proceedings of the national academy of sciences: usa,[redacted],
36,proceedings of the royal society b-biological sciences,[redacted],
36,rangeland ecology & management,[redacted],
36,rangeland journal,[redacted],
36,regional studies in marine science,[redacted],
36,remote sensing,[redacted],
36,remote sensing in ecology and conservation,[redacted],
36,restoration ecology,[redacted],
36,reviews in fish biology and fisheries,[redacted],
36,revista chilena de historia natural,[redacted],
36,russian journal of biological invasions,[redacted],
36,russian journal of ecology,[redacted],
37,science,[redacted],
37,science advances,[redacted],
37,science of the total environment,[redacted],
37,scientific reports,[redacted],
37,soil ecology letters,[redacted],
37,south of russia-ecology development,[redacted],
37,southeastern naturalist,[redacted],
37,southwestern naturalist,[redacted],
37,systematic biology,[redacted],
37,systematic botany,[redacted],
37,systematic entomology,[redacted],
37,taxon,[redacted],
37,theoretical and applied ecology,[redacted],
37,theoretical ecology,[redacted],
37,theoretical population biology,[redacted],
38,trends in ecology & evolution,[redacted],
38,tropical ecology,[redacted],
38,tropics,[redacted],
38,urban ecosystems,[redacted],
38,vestnik tomskogo gosudarstvennogo universiteta-biologiya,[redacted],
38,vie et milieu-life and environment,[redacted],
38,web ecology,[redacted],
38,western north american naturalist,[redacted],
38,wetlands,[redacted],
38,wetlands ecology and management,[redacted],
38,wildlife biology,[redacted],
38,wildlife monographs,[redacted],
38,wildlife research,[redacted],
38,zoologica scripta,[redacted],
39,acta amazonica,[redacted],
39,acta ethologica,[redacted],
39,acta oecologica-international journal of ecology,[redacted],
39,advances in ecological research,[redacted],
39,african journal of ecology,[redacted],
39,african journal of range & forage science,[redacted],
39,african journal of wildlife research,[redacted],
39,agriculture ecosystems & environment,[redacted],
39,alpine botany,[redacted],
39,ambient science,[redacted],
39,american journal of physical anthropology,[redacted],
39,american midland naturalist,[redacted],
39,american naturalist,[redacted],
39,animal behaviour,[redacted],
39,animal biotelemetry,[redacted],
40,animal conservation,[redacted],
40,annales zoologici fennici,[redacted],
40,annals of botany,[redacted],
40,annual review of animal biosciences,[redacted],
40,annual review of ecology evolution and systematics,[redacted],
40,annual review of entomology,[redacted],
40,anthropocene,[redacted],
40,anthropological science,[redacted],
40,aob plants,[redacted],
40,applied ecology and environmental research,[redacted],
40,applied soil ecology,[redacted],
40,applied vegetation science,[redacted],
40,aquatic ecology,[redacted],
40,aquatic invasions,[redacted],
40,aquatic microbial ecology,[redacted],
41,aquatic toxicology,[redacted],
41,arctic science,[redacted],
41,arid ecosystems,[redacted],
41,austral ecology,[redacted],
41,australian journal of botany,[redacted],
41,australian systematic botany,[redacted],
41,avian conservation and ecology,[redacted],
41,basic and applied ecology,[redacted],
41,behavior research methods,[redacted],
41,behavioral ecology,[redacted],
41,behavioral ecology and sociobiology,[redacted],
41,biochemical systematics and ecology,[redacted],
41,biodiversity and conservation,[redacted],
41,biogeosciences,[redacted],
41,biological conservation,[redacted],
42,biological invasions,[redacted],
42,biological journal of the linnean society,[redacted],
42,biological reviews,[redacted],
42,biology letters,[redacted],
42,biology open,[redacted],
42,biosystems diversity,[redacted],
42,biotropica,[redacted],
42,bird conservation international,[redacted],
42,bmc ecology,[redacted],
42,bmc ecology and evolution,[redacted],
42,bmc evolutionary biology,[redacted],
42,bulletin of the american museum of natural history,[redacted],
42,bulletin of the peabody museum of natural history,[redacted],
42,chemistry and ecology,[redacted],
42,chemoecology,[redacted],
43,cladistics,[redacted],
43,communications biology,[redacted],
43,community ecology,[redacted],
43,compost science & utilization,[redacted],
43,conservation biology,[redacted],
43,conservation letters,[redacted],
43,conservation physiology,[redacted],
43,contemporary problems of ecology,[redacted],
43,current biology,[redacted],
43,current opinion in insect science,[redacted],
43,development genes and evolution,[redacted],
43,diversity and distributions,[redacted],
43,diversity-basel,[redacted],
43,eco mont-journal on protected mountain areas research,[redacted],
43,ecography,[redacted],
44,ecohydrology,[redacted],
44,ecohydrology & hydrobiology,[redacted],
44,ecologia aplicada,[redacted],
44,ecological applications,[redacted],
44,ecological complexity,[redacted],
44,ecological economics,[redacted],
44,ecological engineering,[redacted],
44,ecological indicators,[redacted],
44,ecological informatics,[redacted],
44,ecological management & restoration,[redacted],
44,ecological modelling,[redacted],
44,ecological monographs,[redacted],
44,ecological processes,[redacted],
44,ecological questions,[redacted],
44,ecological research,[redacted],
45,ecological restoration,[redacted],
45,ecology,[redacted],
45,ecology and evolution,[redacted],
45,ecology and society,[redacted],
45,ecology letters,[redacted],
45,"ecology, environment and conservation",[redacted],
45,ecoscience,[redacted],
45,ecosistemas,[redacted],
45,ecosphere,[redacted],
45,ecosystem health and sustainability,[redacted],
45,ecosystem services,[redacted],
45,ecosystems,[redacted],
45,ecotoxicology,[redacted],
45,elife,[redacted],
45,environmental biology of fishes,[redacted],
46,environmental evidence,[redacted],
46,environmental pollution,[redacted],
46,ethology,[redacted],
46,"ethology, ecology and evolution",[redacted],
46,european journal of soil biology,[redacted],
46,european journal of wildlife research,[redacted],
46,evodevo,[redacted],
46,evolution,[redacted],
46,evolution & development,[redacted],
46,evolution and development,[redacted],
46,evolution letters,[redacted],
46,evolution medicine and public health,[redacted],
46,evolutionary applications,[redacted],
46,evolutionary bioinformatics,[redacted],
46,evolutionary biology,[redacted],
47,evolutionary ecology,[redacted],
47,evolutionary ecology research,[redacted],
47,fems microbiology ecology,[redacted],
47,fire ecology,[redacted],
47,fire-switzerland,[redacted],
47,fish and fisheries,[redacted],
47,flora,[redacted],
47,folia oecologica,[redacted],
47,food webs,[redacted],
47,freshwater biology,[redacted],
47,freshwater science,[redacted],
47,frontiers in ecology and evolution,[redacted],
47,frontiers in ecology and the environment,[redacted],
47,frontiers in forests and global change,[redacted],
47,frontiers in zoology,[redacted],
48,functional ecology,[redacted],
48,fungal diversity,[redacted],
48,fungal ecology,[redacted],
48,genome biology and evolution,[redacted],
48,global change biology,[redacted],
48,global ecology and biogeography,[redacted],
48,global ecology and conservation,[redacted],
48,global environmental change,[redacted],
48,heredity,[redacted],
48,human ecology,[redacted],
48,human-wildlife interactions,[redacted],
48,ideas in ecology and evolution,[redacted],
48,insect systematics & evolution,[redacted],
48,integrative organismal biology,[redacted],
48,interciencia,[redacted],
49,international journal for parasitology-parasites and wildlife,[redacted],
49,international journal of ecology & development,[redacted],
49,international journal of sustainable development and world ecology,[redacted],
49,invertebrate systematics,[redacted],
49,isme journal,[redacted],
49,israel journal of ecology & evolution,[redacted],
49,journal for nature conservation,[redacted],
49,journal of animal ecology,[redacted],
49,journal of applied ecology,[redacted],
49,journal of arid environments,[redacted],
49,journal of avian biology,[redacted],
49,journal of biogeography,[redacted],
49,journal of biological dynamics,[redacted],
49,journal of chemical ecology,[redacted],
49,"journal of comparative physiology b: biochemical, systemic and environmental physiology",[redacted],
50,journal of ecology,[redacted],
50,journal of evolutionary biochemistry and physiology,[redacted],
50,journal of evolutionary biology,[redacted],
50,journal of experimental biology,[redacted],
50,journal of experimental marine biology and ecology,[redacted],
50,journal of experimental zoology part b-molecular and developmental evolution,[redacted],
50,journal of fish and wildlife management,[redacted],
50,journal of freshwater ecology,[redacted],
50,journal of heredity,[redacted],
50,journal of human evolution,[redacted],
50,journal of molecular evolution,[redacted],
50,journal of natural history,[redacted],
50,journal of plant biology,[redacted],
50,journal of plant ecology,[redacted],
50,journal of soil and water conservation,[redacted],
51,journal of systematic palaeontology,[redacted],
51,journal of thermal biology,[redacted],
51,journal of tropical ecology,[redacted],
51,journal of vegetation science,[redacted],
51,journal of wildlife and biodiversity,[redacted],
51,journal of wildlife management,[redacted],
51,journal of zoological systematics and evolutionary research,[redacted],
51,landscape and ecological engineering,[redacted],
51,landscape and urban planning,[redacted],
51,landscape ecology,[redacted],
51,limnology and oceanography,[redacted],
51,mammal review,[redacted],
51,marine biology,[redacted],
51,marine biology research,[redacted],
51,marine ecology progress series,[redacted],
52,methods in ecology and evolution,[redacted],
52,microbial ecology,[redacted],
52,molecular biology and evolution,[redacted],
52,molecular ecology,[redacted],
52,molecular ecology resources,[redacted],
52,molecular phylogenetics and evolution,[redacted],
52,movement ecology,[redacted],
52,natural areas journal,[redacted],
52,natural history,[redacted],
52,nature,[redacted],
52,nature climate change,[redacted],
52,nature communications,[redacted],
52,nature ecology & evolution,[redacted],
52,nature ecology and evolution,[redacted],
52,neobiota,[redacted],
53,neotropical biodiversity,[redacted],
53,new phytologist,[redacted],
53,new zealand journal of ecology,[redacted],
53,northeastern naturalist,[redacted],
53,northwest science,[redacted],
53,oecologia,[redacted],
53,oikos,[redacted],
53,organisms diversity & evolution,[redacted],
53,oryx,[redacted],
53,paleobiology,[redacted],
53,pedobiologia,[redacted],
53,people and nature,[redacted],
53,perspectives in plant ecology evolution and systematics,[redacted],
53,philosophical transactions of the royal society b: biological sciences,[redacted],
53,phytocoenologia,[redacted],
54,"plankton biology and ecology ( ""plankton biology and ecology"" has changed name to ""plankton and benthos research"" in 2006)",[redacted],
54,plant biology,[redacted],
54,plant ecology,[redacted],
54,plant ecology and diversity,[redacted],
54,plant physiology,[redacted],
54,plant species biology,[redacted],
54,plant systematics and evolution,[redacted],
54,plants people planet,[redacted],
54,plos biology,[redacted],
54,polar biology,[redacted],
54,polar record,[redacted],
54,polar research,[redacted],
54,polar science,[redacted],
54,polish journal of ecology,[redacted],
54,polish polar research,[redacted],
55,population ecology,[redacted],
55,proceedings of the academy of natural sciences of philadelphia,[redacted],
55,proceedings of the linnean society of new south wales,[redacted],
55,proceedings of the national academy of sciences: usa,[redacted],
55,proceedings of the royal society b-biological sciences,[redacted],
55,rangeland ecology & management,[redacted],
55,rangeland journal,[redacted],
55,regional studies in marine science,[redacted],
55,remote sensing,[redacted],
55,remote sensing in ecology and conservation,[redacted],
55,restoration ecology,[redacted],
55,reviews in fish biology and fisheries,[redacted],
55,revista chilena de historia natural,[redacted],
55,russian journal of biological invasions,[redacted],
55,russian journal of ecology,[redacted],
56,science,[redacted],
56,science advances,[redacted],
56,science of the total environment,[redacted],
56,scientific reports,[redacted],
56,soil ecology letters,[redacted],
56,south of russia-ecology development,[redacted],
56,southeastern naturalist,[redacted],
56,southwestern naturalist,[redacted],
56,systematic biology,[redacted],
56,systematic botany,[redacted],
56,systematic entomology,[redacted],
56,taxon,[redacted],
56,theoretical and applied ecology,[redacted],
56,theoretical ecology,[redacted],
56,theoretical population biology,[redacted],
57,trends in ecology & evolution,[redacted],
