Journals,Publisher,Publisher-Level Policy,2024_Update?,Reviewer_A,Reviewer_B,Reviewer_notes,Data_timing_DE,Data_timing_agree,Data_timing_FIN,Data_strict_DE,Data_strict_agree,Data_strict_FIN,Code_timing_DE,Code_timing_agree,Code_timing_FIN,Code_strict_DE,Code_strict_agree,Code_strict_FIN
annual review of ecology evolution and systematics,Annual Reviews,Yes,NA,[redacted],[redacted],[redacted],Unclear,Partial (2/3),Not Expected At All,Not Mentioned,Partial (2/3),Optional for Authors,Not Expected At All,Partial (2/3),Not Expected At All,Not Mentioned,Full (3/3),Not Mentioned
annual review of entomology,Annual Reviews,Yes,NA,[redacted],[redacted],[redacted],Unclear,Partial (2/3),Not Expected At All,Not Mentioned,Partial (2/3),Optional for Authors,Not Expected At All,Partial (2/3),Not Expected At All,Not Mentioned,Full (3/3),Not Mentioned
anthropocene,ScienceDirect by Elsevier,Yes,"Option C: Research data deposit, citation and linking

You are required to:

Deposit your research data in a relevant data repository.

Cite and link to this dataset in your article.

If this is not possible, make a statement explaining why research data cannot be shared.

Data statement
To foster transparency, you are required to state the availability of any data at submission.",[redacted],[redacted],[redacted],Unclear,Full (3/3),During Peer Review,Mandated,Partial (2/3),Mandated,Unclear,Partial (2/3),During Peer Review,Encouraged,Partial (2/3),Mandated
anthropological science,JStage - ASN,No,NA,[redacted],[redacted],[redacted],After Acceptance (Post-Publication),Partial (2/3),After Acceptance (Post-Publication),Encouraged,Partial (2/3),Mandated,Not Expected At All,Full (3/3),Not Expected At All,Not Mentioned,Full (3/3),Not Mentioned
aob plants,OUP,Yes,NA,[redacted],[redacted],[redacted],After Acceptance (Post-Publication),Partial (2/3),After Acceptance (Post-Publication),Mandated,Full (3/3),Mandated,Not Expected At All,Full (3/3),After Acceptance (Post-Publication),Not Mentioned,Partial (2/3),Encouraged
applied ecology and environmental research,Aloki,No,NA,[redacted],[redacted],[redacted],Not Expected At All,Partial (2/3),Not Expected At All,Not Mentioned,Full (3/3),Not Mentioned,Not Expected At All,Partial (2/3),Not Expected At All,Not Mentioned,Full (3/3),Not Mentioned
applied soil ecology,ScienceDirect by Elsevier,Yes,"Option C: Research data deposit, citation and linking

You are required to:

Deposit your research data in a relevant data repository.

Cite and link to this dataset in your article.

If this is not possible, make a statement explaining why research data cannot be shared.

Data statement
To foster transparency, you are required to state the availability of any data at submission.

Ensuring data is available may be a requirement of your funding body or institution. If your data is unavailable to access or unsuitable to post, you can state the reason why (e.g., your research data includes sensitive or confidential information such as patient data) during the submission process. This statement will appear with your published article on ScienceDirect.",[redacted],[redacted],[redacted],Unclear,Partial (2/3),During Peer Review,Mandated,Partial (2/3),Mandated,Unclear,Partial (2/3),During Peer Review,NA,None,Mandated
applied vegetation science,Wiley,No,NA,[redacted],[redacted],[redacted],NA,None,After Acceptance (Post-Publication),Mandated,Full (3/3),Mandated,NA,None,After Acceptance (Post-Publication),Mandated,Partial (2/3),Encouraged
aquatic ecology,Springer Nature ,Yes,NA,[redacted],[redacted],[redacted],Unclear,Partial (2/3),During Peer Review,Encouraged,Full (3/3),On Reviewer Request,Unclear,Partial (2/3),During Peer Review,Not Mentioned,Partial (2/3),On Reviewer Request
aquatic invasions,InvasiveNet,No,NA,[redacted],[redacted],[redacted],NA,None,During Peer Review,NA,None,Encouraged,Not Expected At All,Full (3/3),Not Expected At All,Not Mentioned,Full (3/3),Not Mentioned
aquatic microbial ecology,Inter Research Science ,Yes,NA,[redacted],[redacted],[redacted],Not Expected At All,Partial (2/3),Not Expected At All,Not Mentioned,Partial (2/3),Not Mentioned,Not Expected At All,Partial (2/3),After Acceptance (Post-Publication),Not Mentioned,Partial (2/3),Optional for Authors
aquatic toxicology,ScienceDirect by Elsevier,Yes,"Option C: Research data deposit, citation and linking

You are required to:

Deposit your research data in a relevant data repository.

Cite and link to this dataset in your article.

If this is not possible, make a statement explaining why research data cannot be shared.

Data statement
To foster transparency, you are required to state the availability of any data at submission.

Ensuring data is available may be a requirement of your funding body or institution. If your data is unavailable to access or unsuitable to post, you can state the reason why (e.g., your research data includes sensitive or confidential information such as patient data) during the submission process. This statement will appear with your published article on ScienceDirect.",[redacted],[redacted],[redacted],NA,None,During Peer Review,Mandated,Partial (2/3),Mandated,NA,None,During Peer Review,Encouraged,Partial (2/3),Mandated
arctic science,CSP,No,NA,[redacted],[redacted],[redacted],NA,None,After Acceptance (Post-Publication),Optional for Authors,Partial (2/3),Optional for Authors,Unclear,Partial (2/3),Not Expected At All,Not Mentioned,Full (3/3),Not Mentioned
arid ecosystems,Springer Nature ,No,NA,[redacted],[redacted],[redacted],After Acceptance (Post-Publication),Partial (2/3),After Acceptance (Post-Publication),Encouraged,Partial (2/3),Encouraged,Not Expected At All,Partial (2/3),After Acceptance (Post-Publication),Not Mentioned,Partial (2/3),Optional for Authors
austral ecology,Wiley,Yes,"Expects Data Sharing
The journal expects that data supporting the results in the paper will be archived in an appropriate public repository. Authors are required to provide a data availability statement to describe the availability or the absence of shared data. When data have been shared, authors are required to include in their data availability statement a link to the repository they have used, and to cite the data they have shared. Whenever possible the scripts and other artefacts used to generate the analyses presented in the paper should also be publicly archived. If sharing data compromises ethical standards or legal requirements then authors are not expected to share it.",[redacted],[redacted],[redacted],Unclear,Partial (2/3),After Acceptance (Post-Publication),Encouraged,Full (3/3),Mandated,Unclear,Partial (2/3),After Acceptance (Post-Publication),Encouraged,Full (3/3),Encouraged
australian journal of botany,CSIRO,Yes,NA,[redacted],[redacted],[redacted],Unclear,Partial (2/3),After Acceptance (Post-Publication),Encouraged,Full (3/3),Encouraged,Not Expected At All,Full (3/3),After Acceptance (Post-Publication),Not Mentioned,Partial (2/3),Encouraged
australian systematic botany,CSIRO,Yes,"Australian Systematic Botany requires, as a condition for publication, that data supporting the results in the paper are archived in an appropriate public archive. CSIRO Publishing encourages authors to share the research data underlying their papers to support transparency and reproducibility of research - journal level + publisher level for code",[redacted],[redacted],[redacted],Unclear,Partial (2/3),After Acceptance (Post-Publication),Encouraged,Full (3/3),Mandated,Not Expected At All,Full (3/3),After Acceptance (Post-Publication),Not Mentioned,Partial (2/3),Mandated
avian conservation and ecology,Society of Canadian Ornithologists and Birds Canada,No,"New Submission Process
To save time for everyone, the initial submission of your manuscript no longer needs to be formatted to any particular style. After answering some questions about your paper simply upload a double-spaced, line-numbered, anonymized pdf of your paper. Later, If your paper is accepted, you will be asked to upload a version that meets our journal’s specifications and formatting requirements.

(Note: re-submissions of manuscripts follow the procedures of the initial submission. If your initial submission required rich-text format files, those files will also be needed for re-submission.)

Initial Submission Guidelines
First, please ensure email from @ace-eco.org is not blocked by your email service provider and that the domain is marked as “not spam” in your email client. We must be able to communicate with you.

You will be guided through the initial submission process.

Step 1. Answer the questions provided.
Step 2. Enter authors’ names and details.
Step 3. Enter title, abstract, keywords, and acknowledgments details
Step 4. Upload a double-spaced, anonymized, and line-numbered pdf of your manuscript (include the title, abstract, graphs, tables, equations, literature cited, and appendices). The PDF will be sent directly to reviewers. Therefore, to ensure blind peer review, it is important that your names are not included in the PDF.
Step 5. Confirm and finalize your submission.
If you have any difficulties with this process, contact the managing editor by emailing managing_editor@ace-eco.org.

Post-Acceptance Guidelines for New, PDF-Only Submissions
After a paper is accepted, the corresponding author will be invited to upload all relevant files for their article for copy editing. The corresponding author should log in, navigate to the article, then go to the “Upload documents for copy editing” tab.

Step 1: Upload an .rtf file of your manuscript, from INTRODUCTION through to the end of LITERATURE CITED. This file should not include: embedded images, title, abstract, keywords, acknowledgments, tables, figures, or author information. Your upload should, however, include placeholders for any equations (e.g., “<eqn1>”).

Step 2: Upload attachments (tables, figure files, equations, and appendices) one by one by following the links and instructions on the page. For each attachment, add a caption in the field provided.

Step 3: Confirm that all files have been uploaded successfully and are presenting correctly by reviewing the html copyedit galley.

Step 4: Verify that you have completed the uploading of files by selecting “Submission upload complete.”",[redacted],[redacted],[redacted],Unclear,Partial (2/3),Not Expected At All,Not Mentioned,Full (3/3),Not Mentioned,Not Expected At All,Partial (2/3),Not Expected At All,Not Mentioned,Full (3/3),Not Mentioned
basic and applied ecology,ScienceDirect by Elsevier,No,NA,[redacted],[redacted],[redacted],Unclear,Partial (2/3),After Acceptance (Post-Publication),Not Mentioned,Partial (2/3),Mandated,Not Expected At All,Partial (2/3),Not Expected At All,Not Mentioned,Full (3/3),Not Mentioned
behavior research methods,Springer Nature ,Yes,NA,[redacted],[redacted],[redacted],During Peer Review,Partial (2/3),During Peer Review,Mandated,Full (3/3),Mandated,NA,None,During Peer Review,Encouraged,Partial (2/3),On Reviewer Request
behavioral ecology,OUP,Yes,NA,[redacted],[redacted],[redacted],After Acceptance (Post-Publication),Full (3/3),After Acceptance (Post-Publication),Mandated,Full (3/3),Mandated,After Acceptance (Post-Publication),Partial (2/3),After Acceptance (Post-Publication),Encouraged,Full (3/3),Encouraged
behavioral ecology and sociobiology,Springer Nature ,Yes,This journal operates a mandatory research data sharing policy and as such requires that all datasets on which the conclusions of the paper rely be available to reviewers and readers. Springer Nature during peer review on request. ,[redacted],[redacted],[redacted],During Peer Review,Full (3/3),During Peer Review,Mandated,Full (3/3),Mandated,NA,None,During Peer Review,Encouraged,Full (3/3),On Reviewer Request
biochemical systematics and ecology,ScienceDirect by Elsevier,Yes,"Option C: Research data deposit, citation and linking

You are required to:

Deposit your research data in a relevant data repository.

Cite and link to this dataset in your article.

If this is not possible, make a statement explaining why research data cannot be shared.

Data statement
To foster transparency, you are encouraged to state the availability of any data at submission.

Ensuring data is available may be a requirement of your funding body or institution. If your data is unavailable to access or unsuitable to post, you can state the reason why (e.g., your research data includes sensitive or confidential information such as patient data) during the submission process. This statement will appear with your published article on ScienceDirect.",[redacted],[redacted],[redacted],During Peer Review,Partial (2/3),During Peer Review,Mandated,Full (3/3),Mandated,Unclear,Partial (2/3),During Peer Review,NA,None,Mandated
biodiversity and conservation,Springer Nature ,Yes,This journal follows Springer Nature research data policy. Sharing of all relevant research data is strongly encouraged and authors must add a Data Availability Statement to original research articles.,[redacted],[redacted],[redacted],NA,None,During Peer Review,Encouraged,Full (3/3),On Reviewer Request,Unclear,Full (3/3),During Peer Review,Encouraged,Partial (2/3),On Reviewer Request
biogeosciences,Copernicus,Yes,"After the manuscript registration, you are kindly asked to upload those files which are necessary for the peer-review process. The following files are required:

the abstract to be pasted into the upload form where requested;
the complete manuscript (title, authors, affiliations, abstract, text, tables, figures) as a *.pdf file with embedded fonts in portrait format following the standards for sectioning and structure as given below in the manuscript composition with full first names for all authors. Please note that manuscript files must use the 1-column format as it is preconfigured in our WORD template as well as in the LaTeX template when applying the manuscript document class and that the file size is limited to 50 MB. All pages must be numbered consecutively and line numbers must be included. Figures and tables as well as their captions must be inserted in the main text near the location of the first mention (not appended to the end of the manuscript) and the figure composition must embed any used fonts. Maps and aerials must include the copyright statements or credits following the requirements of the provider. Should figures or tables occupy entire manuscript pages, these must follow the portrait format and page dimensions of the entire manuscript *.pdf file;
data sets, model code, video supplements, or other assets to your manuscript should be submitted to a reliable repository receiving a DOI, cited in your manuscript, and included in your reference list. Reviewers can then access these relevant sources;",[redacted],[redacted],[redacted],Unclear,Full (3/3),During Peer Review,Encouraged,Partial (2/3),Mandated,Unclear,Full (3/3),During Peer Review,Encouraged,Full (3/3),Mandated
biological conservation,ScienceDirect by Elsevier,Yes,"Option C: Research data deposit, citation and linking

You are required to:

Deposit your research data in a relevant data repository.

Cite and link to this dataset in your article.

If this is not possible, make a statement explaining why research data cannot be shared.

Data statement
To foster transparency, you are required to state the availability of any data at submission.

Ensuring data is available may be a requirement of your funding body or institution. If your data is unavailable to access or unsuitable to post, you can state the reason why (e.g., your research data includes sensitive or confidential information such as patient data) during the submission process. This statement will appear with your published article on ScienceDirect.",[redacted],[redacted],[redacted],NA,None,During Peer Review,Mandated,Full (3/3),Mandated,NA,None,During Peer Review,Mandated,Partial (2/3),Mandated
biological invasions,Springer Nature ,Yes,NA,[redacted],[redacted],[redacted],Unclear,Partial (2/3),During Peer Review,Encouraged,Full (3/3),On Reviewer Request,Unclear,Full (3/3),During Peer Review,NA,None,On Reviewer Request
biological journal of the linnean society,OUP,Yes,"The Journal requires all authors, where ethically possible, to publicly release all data and software code underlying any published paper as a condition of publication",[redacted],[redacted],[redacted],Unclear,Partial (2/3),After Acceptance (Post-Publication),Encouraged,Full (3/3),Mandated,Unclear,Partial (2/3),After Acceptance (Post-Publication),Encouraged,Full (3/3),Mandated
biological reviews,Wiley,No,NA,[redacted],[redacted],[redacted],Not Expected At All,Partial (2/3),After Acceptance (Post-Publication),NA,None,Optional for Authors,Not Expected At All,Partial (2/3),Not Expected At All,Not Mentioned,Partial (2/3),Not Mentioned
biology letters,Royal Society ,Yes,"From RS - Data files and other supporting material (such as details of code) must be provided at the point of submission for our Editors and reviewers for peer-review, and then made publicly available before publication.",[redacted],[redacted],[redacted],During Peer Review,Full (3/3),During Peer Review,Mandated,Full (3/3),Mandated,During Peer Review,Full (3/3),During Peer Review,Mandated,Full (3/3),Mandated
biology open,Company of Biologists,Yes,NA,[redacted],[redacted],[redacted],After Acceptance (Post-Publication),Partial (2/3),After Acceptance (Post-Publication),Encouraged,Full (3/3),Encouraged,Unclear,Partial (2/3),After Acceptance (Post-Publication),Encouraged,Partial (2/3),Encouraged
biosystems diversity,Oles Honchar Dnipro National University,No,NA,[redacted],[redacted],[redacted],NA,None,During Peer Review,Not Mentioned,Partial (2/3),On Reviewer Request,Not Expected At All,Partial (2/3),Not Expected At All,Not Mentioned,Full (3/3),Not Mentioned
biotropica,Wiley,No,NA,[redacted],[redacted],[redacted],Unclear,Partial (2/3),After Acceptance (Post-Publication),Mandated,Full (3/3),Mandated,NA,None,After Acceptance (Post-Publication),Encouraged,Partial (2/3),Encouraged
bird conservation international,Cambridge University Press,No,NA,[redacted],[redacted],[redacted],Unclear,Partial (2/3),After Acceptance (Post-Publication),Optional for Authors,Partial (2/3),Encouraged,Unclear,Partial (2/3),After Acceptance (Post-Publication),NA,None,Encouraged
bmc ecology and evolution,BioMed Central - Springer Nature,Yes,Biomed policy is mandated for some data therefore encoruaged. code is encoruaged due to bmc policy,[redacted],[redacted],[redacted],Unclear,Full (3/3),During Peer Review,Encouraged,Full (3/3),Encouraged,Unclear,Partial (2/3),During Peer Review,Not Mentioned,Full (3/3),Encouraged
bulletin of the american museum of natural history,American Museum of Natural History,Yes,NA,[redacted],[redacted],[redacted],NA,None,During Peer Review,Mandated,Partial (2/3),Mandated,Not Expected At All,Full (3/3),Not Expected At All,Not Mentioned,Full (3/3),Not Mentioned
bulletin of the peabody museum of natural history,"Peabody Museum of Natural History, Yale University",Yes,NA,[redacted],[redacted],[redacted],Not Expected At All,Partial (2/3),During Peer Review,Optional for Authors,Partial (2/3),Optional for Authors,Not Expected At All,Full (3/3),Not Expected At All,Not Mentioned,Full (3/3),Not Mentioned
chemistry and ecology,Taylor & Francis,Yes,NA,[redacted],[redacted],[redacted],NA,None,During Peer Review,Encouraged,Full (3/3),Optional for Authors,Not Expected At All,Full (3/3),During Peer Review,Not Mentioned,Full (3/3),On Reviewer Request
chemoecology,Springer Nature ,Yes,NA,[redacted],[redacted],[redacted],During Peer Review,Partial (2/3),During Peer Review,Encouraged,Full (3/3),On Reviewer Request,Not Expected At All,Partial (2/3),During Peer Review,NA,None,On Reviewer Request
cladistics,Wiley,Yes,NA,[redacted],[redacted],[redacted],During Peer Review,Partial (2/3),During Peer Review,Mandated,Full (3/3),Mandated,Not Expected At All,Full (3/3),Not Expected At All,Not Mentioned,Full (3/3),Not Mentioned
communications biology,Springer Nature ,Yes,NA,[redacted],[redacted],[redacted],Unclear,Partial (2/3),During Peer Review,Mandated,Full (3/3),On Reviewer Request,During Peer Review,Partial (2/3),During Peer Review,NA,None,Mandated
community ecology,Springer Nature ,Yes,NA,[redacted],[redacted],[redacted],Unclear,Partial (2/3),During Peer Review,Encouraged,Full (3/3),On Reviewer Request,Not Expected At All,Full (3/3),During Peer Review,Not Mentioned,Partial (2/3),On Reviewer Request
compost science & utilization,Taylor & Francis,Yes,NA,[redacted],[redacted],[redacted],Unclear,Partial (2/3),During Peer Review,Optional for Authors,Partial (2/3),Optional for Authors,Not Expected At All,Full (3/3),During Peer Review,Not Mentioned,Full (3/3),On Reviewer Request
conservation biology,Wiley - Society for Conservation Biology,No,No mention of data/code?,[redacted],[redacted],[redacted],Unclear,Partial (2/3),Not Expected At All,Encouraged,Full (3/3),Not Mentioned,Unclear,Partial (2/3),Not Expected At All,Encouraged,Full (3/3),Not Mentioned
conservation letters,Wiley - Society for Conservation Biology,No,NA,[redacted],[redacted],[redacted],After Acceptance (Post-Publication),Full (3/3),After Acceptance (Post-Publication),Mandated,Full (3/3),Mandated,After Acceptance (Post-Publication),Partial (2/3),After Acceptance (Post-Publication),Encouraged,Partial (2/3),Encouraged
conservation physiology,OUP,Yes,NA,[redacted],[redacted],[redacted],Unclear,Partial (2/3),After Acceptance (Post-Publication),Encouraged,Full (3/3),Encouraged,Unclear,Partial (2/3),After Acceptance (Post-Publication),Encouraged,Full (3/3),Encouraged
contemporary problems of ecology,Springer Nature ,No,NA,[redacted],[redacted],[redacted],Unclear,Full (3/3),After Acceptance (Post-Publication),NA,None,Encouraged,Not Expected At All,Partial (2/3),After Acceptance (Post-Publication),NA,None,Optional for Authors
current biology,Cell Press,No,NA,[redacted],[redacted],[redacted],After Acceptance (Post-Publication),Partial (2/3),After Acceptance (Post-Publication),Mandated,Full (3/3),Mandated,After Acceptance (Post-Publication),Partial (2/3),After Acceptance (Post-Publication),Mandated,Full (3/3),Mandated
current opinion in insect science,ScienceDirect by Elsevier,Yes,"ption C: Research data deposit, citation and linking

You are required to:

Deposit your research data in a relevant data repository.

Cite and link to this dataset in your article.

If this is not possible, make a statement explaining why research data cannot be shared.

Data linking
Linking to the data underlying your work increases your exposure and may lead to new collaborations. It also provides readers with a better understanding of the described research.

If your research data has been made available in a data repository there are a number of ways your article can be linked directly to the dataset:

Provide a link to your dataset when prompted during the online submission process.

For some data repositories, a repository banner will automatically appear next to your published article on ScienceDirect.

You can also link relevant data or entities within the text of your article through the use of identifiers. Use the following format: Database: 12345 (e.g. TAIR: AT1G01020; CCDC: 734053; PDB: 1XFN).",[redacted],[redacted],[redacted],Unclear,Partial (2/3),During Peer Review,Mandated,Partial (2/3),Mandated,NA,None,During Peer Review,Mandated,Partial (2/3),Mandated
development genes and evolution,Springer Nature ,Yes,NA,[redacted],[redacted],[redacted],Unclear,Partial (2/3),During Peer Review,Encouraged,Full (3/3),On Reviewer Request,Not Expected At All,Partial (2/3),During Peer Review,Not Mentioned,Partial (2/3),On Reviewer Request
diversity-basel,MDPI,Yes,NA,[redacted],[redacted],[redacted],During Peer Review,Partial (2/3),During Peer Review,Encouraged,Partial (2/3),On Reviewer Request,Unclear,Partial (2/3),After Acceptance (Post-Publication),Encouraged,Partial (2/3),Mandated
diversity and distributions,Wiley,Yes,NA,[redacted],[redacted],[redacted],During Peer Review,Partial (2/3),During Peer Review,Mandated,Full (3/3),Encouraged,Unclear,Full (3/3),After Acceptance (Post-Publication),Encouraged,Full (3/3),Encouraged
eco mont-journal on protected mountain areas research,eco.mont,Yes,NA,[redacted],[redacted],[redacted],Not Expected At All,Full (3/3),Not Expected At All,Not Mentioned,Full (3/3),Not Mentioned,Not Expected At All,Full (3/3),Not Expected At All,Not Mentioned,Full (3/3),Not Mentioned
ecography,Oikos,Yes,"All NSO journals mandate authors to make all data, code and related metadata necessary to fully replicate the study publicly available in a permanent, freely accessible repository. Repositories may be either subject-specific (where these exist) and accept specific types of structured data, or generalist repositories that accept multiple data types, such as e.g. Dryad. At submission, the author(s) will be asked to provide the data and code for reviewers and editors. At this stage data and code does not need to be public. - based on this mandated",[redacted],[redacted],[redacted],After Acceptance (Post-Publication),Full (3/3),During Peer Review,Mandated,Full (3/3),Mandated,Not Expected At All,Partial (2/3),During Peer Review,NA,None,Mandated
ecohydrology,Wiley,No,NA,[redacted],[redacted],[redacted],Not Expected At All,Partial (2/3),After Acceptance (Post-Publication),Encouraged,Full (3/3),Encouraged,Not Expected At All,Partial (2/3),After Acceptance (Post-Publication),NA,None,Encouraged
ecohydrology & hydrobiology,ScienceDirect by Elsevier,No,NA,[redacted],[redacted],[redacted],Not Expected At All,Partial (2/3),During Peer Review,Encouraged,Partial (2/3),Encouraged,Not Expected At All,Partial (2/3),During Peer Review,NA,None,Encouraged
ecologia aplicada,SciElo Peru,No,NA,[redacted],[redacted],[redacted],Not Expected At All,Partial (2/3),Not Expected At All,Not Mentioned,Full (3/3),Not Mentioned,Not Expected At All,Partial (2/3),Not Expected At All,Not Mentioned,Full (3/3),Not Mentioned
ecological applications,ESA,Yes,"Novel code must be supplied as private-for-peer review in an external repository during the review process. At the submission stage, code should not be uploaded with your submission in the file list. Authors are not required to provide data at the submission stage, but it is strongly encouraged that authors deposit data in an external repository prior to manuscript submission to allow Subject-matter Editors and reviewers access",[redacted],[redacted],[redacted],After Acceptance (Post-Publication),Full (3/3),During Peer Review,Mandated,Full (3/3),Encouraged,After Acceptance (Post-Publication),Full (3/3),During Peer Review,Mandated,Full (3/3),Mandated
