Manuscript ID,Manuscript Type,Manuscript Type,Submission Date,Submission Question,Submission Question Response
[redacted],Research,Research,11/03/2023 18:18,"If yes, provide a link to your data if it is in a repository. If depositing your data with Dryad, <b>ensure that you give the private reviewer 'sharing' link</b>. If your data is uploaded as supplementary material, please state this. Your paper will be unsubmitted without this information.",[redacted]
[redacted],Research,Research,12/03/2023 3:14,"Does your paper present new data, or use data/models published elsewhere?",Yes
[redacted],Research,Research,12/03/2023 3:14,"If yes, provide a link to your data if it is in a repository. If depositing your data with Dryad, <b>ensure that you give the private reviewer 'sharing' link</b>. If your data is uploaded as supplementary material, please state this. Your paper will be unsubmitted without this information.",[redacted]
[redacted],Research,Research,12/03/2023 8:35,"Does your paper present new data, or use data/models published elsewhere?",Yes
[redacted],Research,Research,12/03/2023 8:35,"If yes, provide a link to your data if it is in a repository. If depositing your data with Dryad, <b>ensure that you give the private reviewer 'sharing' link</b>. If your data is uploaded as supplementary material, please state this. Your paper will be unsubmitted without this information.",[redacted]
[redacted],Research,Research,12/03/2023 10:00,"Does your paper present new data, or use data/models published elsewhere?",Yes
[redacted],Research,Research,12/03/2023 10:00,"If yes, provide a link to your data if it is in a repository. If depositing your data with Dryad, <b>ensure that you give the private reviewer 'sharing' link</b>. If your data is uploaded as supplementary material, please state this. Your paper will be unsubmitted without this information.",[redacted]
[redacted],Research,Research,12/03/2023 12:23,"Does your paper present new data, or use data/models published elsewhere?",Yes
[redacted],Research,Research,12/03/2023 12:23,"If yes, provide a link to your data if it is in a repository. If depositing your data with Dryad, <b>ensure that you give the private reviewer 'sharing' link</b>. If your data is uploaded as supplementary material, please state this. Your paper will be unsubmitted without this information.",[redacted]
[redacted],Research,Research,12/03/2023 13:08,"Does your paper present new data, or use data/models published elsewhere?",Yes
[redacted],Research,Research,12/03/2023 13:08,"If yes, provide a link to your data if it is in a repository. If depositing your data with Dryad, <b>ensure that you give the private reviewer 'sharing' link</b>. If your data is uploaded as supplementary material, please state this. Your paper will be unsubmitted without this information.",[redacted]
[redacted],Research,Research,12/03/2023 17:20,"Does your paper present new data, or use data/models published elsewhere?",Yes
[redacted],Research,Research,12/03/2023 17:20,"If yes, provide a link to your data if it is in a repository. If depositing your data with Dryad, <b>ensure that you give the private reviewer 'sharing' link</b>. If your data is uploaded as supplementary material, please state this. Your paper will be unsubmitted without this information.",[redacted]
[redacted],Research,Research,12/03/2023 19:12,"Does your paper present new data, or use data/models published elsewhere?",Yes
[redacted],Research,Research,12/03/2023 19:12,"If yes, provide a link to your data if it is in a repository. If depositing your data with Dryad, <b>ensure that you give the private reviewer 'sharing' link</b>. If your data is uploaded as supplementary material, please state this. Your paper will be unsubmitted without this information.",[redacted]
[redacted],Research,Research,12/03/2023 23:15,"Does your paper present new data, or use data/models published elsewhere?",Yes
[redacted],Research,Research,12/03/2023 23:15,"If yes, provide a link to your data if it is in a repository. If depositing your data with Dryad, <b>ensure that you give the private reviewer 'sharing' link</b>. If your data is uploaded as supplementary material, please state this. Your paper will be unsubmitted without this information.",[redacted]
[redacted],Commentary,Commentary,13/03/2023 2:22,"Does your paper present new data, or use data/models published elsewhere?",My paper has no data
[redacted],Commentary,Commentary,13/03/2023 2:22,"If yes, provide a link to your data if it is in a repository. If depositing your data with Dryad, <b>ensure that you give the private reviewer 'sharing' link</b>. If your data is uploaded as supplementary material, please state this. Your paper will be unsubmitted without this information.",[redacted]
[redacted],Research,Research,13/03/2023 4:49,"Does your paper present new data, or use data/models published elsewhere?",Yes
[redacted],Research,Research,13/03/2023 4:49,"If yes, provide a link to your data if it is in a repository. If depositing your data with Dryad, <b>ensure that you give the private reviewer 'sharing' link</b>. If your data is uploaded as supplementary material, please state this. Your paper will be unsubmitted without this information.",[redacted]
[redacted],Review,Review,13/03/2023 6:04,"Does your paper present new data, or use data/models published elsewhere?",Yes
[redacted],Review,Review,13/03/2023 6:04,"If yes, provide a link to your data if it is in a repository. If depositing your data with Dryad, <b>ensure that you give the private reviewer 'sharing' link</b>. If your data is uploaded as supplementary material, please state this. Your paper will be unsubmitted without this information.",[redacted]
[redacted],Research,Research,13/03/2023 8:40,"Does your paper present new data, or use data/models published elsewhere?",Yes
[redacted],Research,Research,13/03/2023 8:40,"If yes, provide a link to your data if it is in a repository. If depositing your data with Dryad, <b>ensure that you give the private reviewer 'sharing' link</b>. If your data is uploaded as supplementary material, please state this. Your paper will be unsubmitted without this information.",[redacted]
[redacted],Research,Research,13/03/2023 9:23,"Does your paper present new data, or use data/models published elsewhere?",My paper has no data
[redacted],Research,Research,13/03/2023 9:23,"If yes, provide a link to your data if it is in a repository. If depositing your data with Dryad, <b>ensure that you give the private reviewer 'sharing' link</b>. If your data is uploaded as supplementary material, please state this. Your paper will be unsubmitted without this information.",[redacted]
[redacted],Research,Research,13/03/2023 9:31,"Does your paper present new data, or use data/models published elsewhere?",Yes
[redacted],Research,Research,13/03/2023 9:31,"If yes, provide a link to your data if it is in a repository. If depositing your data with Dryad, <b>ensure that you give the private reviewer 'sharing' link</b>. If your data is uploaded as supplementary material, please state this. Your paper will be unsubmitted without this information.",[redacted]
[redacted],Research,Research,13/03/2023 9:43,"Does your paper present new data, or use data/models published elsewhere?",Yes
[redacted],Research,Research,13/03/2023 9:43,"If yes, provide a link to your data if it is in a repository. If depositing your data with Dryad, <b>ensure that you give the private reviewer 'sharing' link</b>. If your data is uploaded as supplementary material, please state this. Your paper will be unsubmitted without this information.",[redacted]
[redacted],Research,Research,13/03/2023 11:54,"Does your paper present new data, or use data/models published elsewhere?",Yes
[redacted],Research,Research,13/03/2023 11:54,"If yes, provide a link to your data if it is in a repository. If depositing your data with Dryad, <b>ensure that you give the private reviewer 'sharing' link</b>. If your data is uploaded as supplementary material, please state this. Your paper will be unsubmitted without this information.",[redacted]
[redacted],Research,Research,13/03/2023 13:36,"Does your paper present new data, or use data/models published elsewhere?",Yes
[redacted],Research,Research,13/03/2023 13:36,"If yes, provide a link to your data if it is in a repository. If depositing your data with Dryad, <b>ensure that you give the private reviewer 'sharing' link</b>. If your data is uploaded as supplementary material, please state this. Your paper will be unsubmitted without this information.",[redacted]
[redacted],Research,Research,13/03/2023 16:15,"Does your paper present new data, or use data/models published elsewhere?",Yes
[redacted],Research,Research,13/03/2023 16:15,"If yes, provide a link to your data if it is in a repository. If depositing your data with Dryad, <b>ensure that you give the private reviewer 'sharing' link</b>. If your data is uploaded as supplementary material, please state this. Your paper will be unsubmitted without this information.",[redacted]
[redacted],Research,Research,13/03/2023 16:59,"Does your paper present new data, or use data/models published elsewhere?",Yes
[redacted],Research,Research,13/03/2023 16:59,"If yes, provide a link to your data if it is in a repository. If depositing your data with Dryad, <b>ensure that you give the private reviewer 'sharing' link</b>. If your data is uploaded as supplementary material, please state this. Your paper will be unsubmitted without this information.",[redacted]
[redacted],Review,Review,13/03/2023 17:08,"Does your paper present new data, or use data/models published elsewhere?",My paper has no data
[redacted],Review,Review,13/03/2023 17:08,"If yes, provide a link to your data if it is in a repository. If depositing your data with Dryad, <b>ensure that you give the private reviewer 'sharing' link</b>. If your data is uploaded as supplementary material, please state this. Your paper will be unsubmitted without this information.",[redacted]
[redacted],Research,Research,14/03/2023 2:04,"Does your paper present new data, or use data/models published elsewhere?",Yes
[redacted],Research,Research,14/03/2023 2:04,"If yes, provide a link to your data if it is in a repository. If depositing your data with Dryad, <b>ensure that you give the private reviewer 'sharing' link</b>. If your data is uploaded as supplementary material, please state this. Your paper will be unsubmitted without this information.",[redacted]
[redacted],Research,Research,14/03/2023 4:14,"Does your paper present new data, or use data/models published elsewhere?",Yes
[redacted],Research,Research,14/03/2023 4:14,"If yes, provide a link to your data if it is in a repository. If depositing your data with Dryad, <b>ensure that you give the private reviewer 'sharing' link</b>. If your data is uploaded as supplementary material, please state this. Your paper will be unsubmitted without this information.",[redacted]
[redacted],Research,Research,14/03/2023 6:46,"Does your paper present new data, or use data/models published elsewhere?",Yes
[redacted],Research,Research,14/03/2023 6:46,"If yes, provide a link to your data if it is in a repository. If depositing your data with Dryad, <b>ensure that you give the private reviewer 'sharing' link</b>. If your data is uploaded as supplementary material, please state this. Your paper will be unsubmitted without this information.",[redacted]
[redacted],Research,Research,14/03/2023 7:27,"Does your paper present new data, or use data/models published elsewhere?",Yes
[redacted],Research,Research,14/03/2023 7:27,"If yes, provide a link to your data if it is in a repository. If depositing your data with Dryad, <b>ensure that you give the private reviewer 'sharing' link</b>. If your data is uploaded as supplementary material, please state this. Your paper will be unsubmitted without this information.",[redacted]
[redacted],Research,Research,14/03/2023 10:23,"Does your paper present new data, or use data/models published elsewhere?",Yes
[redacted],Research,Research,14/03/2023 10:23,"If yes, provide a link to your data if it is in a repository. If depositing your data with Dryad, <b>ensure that you give the private reviewer 'sharing' link</b>. If your data is uploaded as supplementary material, please state this. Your paper will be unsubmitted without this information.",[redacted]
[redacted],Research,Research,14/03/2023 10:37,"Does your paper present new data, or use data/models published elsewhere?",Yes
[redacted],Research,Research,14/03/2023 10:37,"If yes, provide a link to your data if it is in a repository. If depositing your data with Dryad, <b>ensure that you give the private reviewer 'sharing' link</b>. If your data is uploaded as supplementary material, please state this. Your paper will be unsubmitted without this information.",[redacted]
[redacted],Research,Research,14/03/2023 13:12,"Does your paper present new data, or use data/models published elsewhere?",Yes
[redacted],Research,Research,14/03/2023 13:12,"If yes, provide a link to your data if it is in a repository. If depositing your data with Dryad, <b>ensure that you give the private reviewer 'sharing' link</b>. If your data is uploaded as supplementary material, please state this. Your paper will be unsubmitted without this information.",[redacted]
[redacted],Research,Research,14/03/2023 17:03,"Does your paper present new data, or use data/models published elsewhere?",Yes
[redacted],Research,Research,14/03/2023 17:03,"If yes, provide a link to your data if it is in a repository. If depositing your data with Dryad, <b>ensure that you give the private reviewer 'sharing' link</b>. If your data is uploaded as supplementary material, please state this. Your paper will be unsubmitted without this information.",[redacted]
[redacted],Research,Research,14/03/2023 17:30,"Does your paper present new data, or use data/models published elsewhere?",Yes
[redacted],Research,Research,14/03/2023 17:30,"If yes, provide a link to your data if it is in a repository. If depositing your data with Dryad, <b>ensure that you give the private reviewer 'sharing' link</b>. If your data is uploaded as supplementary material, please state this. Your paper will be unsubmitted without this information.",[redacted]
[redacted],Research,Research,14/03/2023 22:09,"Does your paper present new data, or use data/models published elsewhere?",Yes
[redacted],Research,Research,14/03/2023 22:09,"If yes, provide a link to your data if it is in a repository. If depositing your data with Dryad, <b>ensure that you give the private reviewer 'sharing' link</b>. If your data is uploaded as supplementary material, please state this. Your paper will be unsubmitted without this information.",[redacted]
[redacted],Research,Research,15/03/2023 4:59,"Does your paper present new data, or use data/models published elsewhere?",My paper has no data
[redacted],Research,Research,15/03/2023 4:59,"If yes, provide a link to your data if it is in a repository. If depositing your data with Dryad, <b>ensure that you give the private reviewer 'sharing' link</b>. If your data is uploaded as supplementary material, please state this. Your paper will be unsubmitted without this information.",[redacted]
[redacted],Research,Research,15/03/2023 6:00,"Does your paper present new data, or use data/models published elsewhere?",Yes
[redacted],Research,Research,15/03/2023 6:00,"If yes, provide a link to your data if it is in a repository. If depositing your data with Dryad, <b>ensure that you give the private reviewer 'sharing' link</b>. If your data is uploaded as supplementary material, please state this. Your paper will be unsubmitted without this information.",[redacted]
[redacted],Research,Research,15/03/2023 6:53,"Does your paper present new data, or use data/models published elsewhere?",Yes
[redacted],Research,Research,15/03/2023 6:53,"If yes, provide a link to your data if it is in a repository. If depositing your data with Dryad, <b>ensure that you give the private reviewer 'sharing' link</b>. If your data is uploaded as supplementary material, please state this. Your paper will be unsubmitted without this information.",[redacted]
[redacted],Review,Review,15/03/2023 9:22,"Does your paper present new data, or use data/models published elsewhere?",My paper has no data
[redacted],Review,Review,15/03/2023 9:22,"If yes, provide a link to your data if it is in a repository. If depositing your data with Dryad, <b>ensure that you give the private reviewer 'sharing' link</b>. If your data is uploaded as supplementary material, please state this. Your paper will be unsubmitted without this information.",[redacted]
[redacted],Research,Research,15/03/2023 12:40,"Does your paper present new data, or use data/models published elsewhere?",Yes
[redacted],Research,Research,15/03/2023 12:40,"If yes, provide a link to your data if it is in a repository. If depositing your data with Dryad, <b>ensure that you give the private reviewer 'sharing' link</b>. If your data is uploaded as supplementary material, please state this. Your paper will be unsubmitted without this information.",[redacted]
[redacted],Research,Research,15/03/2023 13:08,"Does your paper present new data, or use data/models published elsewhere?",Yes
[redacted],Research,Research,15/03/2023 13:08,"If yes, provide a link to your data if it is in a repository. If depositing your data with Dryad, <b>ensure that you give the private reviewer 'sharing' link</b>. If your data is uploaded as supplementary material, please state this. Your paper will be unsubmitted without this information.",[redacted]
[redacted],Research,Research,15/03/2023 17:31,"Does your paper present new data, or use data/models published elsewhere?",Yes
[redacted],Research,Research,15/03/2023 17:31,"If yes, provide a link to your data if it is in a repository. If depositing your data with Dryad, <b>ensure that you give the private reviewer 'sharing' link</b>. If your data is uploaded as supplementary material, please state this. Your paper will be unsubmitted without this information.",[redacted]
[redacted],Research,Research,15/03/2023 22:41,"Does your paper present new data, or use data/models published elsewhere?",Yes
[redacted],Research,Research,15/03/2023 22:41,"If yes, provide a link to your data if it is in a repository. If depositing your data with Dryad, <b>ensure that you give the private reviewer 'sharing' link</b>. If your data is uploaded as supplementary material, please state this. Your paper will be unsubmitted without this information.",[redacted]
[redacted],Research,Research,16/03/2023 1:02,"Does your paper present new data, or use data/models published elsewhere?",Yes
[redacted],Research,Research,16/03/2023 1:02,"If yes, provide a link to your data if it is in a repository. If depositing your data with Dryad, <b>ensure that you give the private reviewer 'sharing' link</b>. If your data is uploaded as supplementary material, please state this. Your paper will be unsubmitted without this information.",[redacted]
[redacted],Research,Research,16/03/2023 1:22,"Does your paper present new data, or use data/models published elsewhere?",Yes
[redacted],Research,Research,16/03/2023 1:22,"If yes, provide a link to your data if it is in a repository. If depositing your data with Dryad, <b>ensure that you give the private reviewer 'sharing' link</b>. If your data is uploaded as supplementary material, please state this. Your paper will be unsubmitted without this information.",[redacted]
[redacted],Research,Research,16/03/2023 5:04,"Does your paper present new data, or use data/models published elsewhere?",Yes
[redacted],Research,Research,16/03/2023 5:04,"If yes, provide a link to your data if it is in a repository. If depositing your data with Dryad, <b>ensure that you give the private reviewer 'sharing' link</b>. If your data is uploaded as supplementary material, please state this. Your paper will be unsubmitted without this information.",[redacted]
[redacted],Research,Research,16/03/2023 7:37,"Does your paper present new data, or use data/models published elsewhere?",Yes
[redacted],Research,Research,16/03/2023 7:37,"If yes, provide a link to your data if it is in a repository. If depositing your data with Dryad, <b>ensure that you give the private reviewer 'sharing' link</b>. If your data is uploaded as supplementary material, please state this. Your paper will be unsubmitted without this information.",[redacted]
[redacted],Research,Research,16/03/2023 9:57,"Does your paper present new data, or use data/models published elsewhere?",Yes
[redacted],Research,Research,16/03/2023 9:57,"If yes, provide a link to your data if it is in a repository. If depositing your data with Dryad, <b>ensure that you give the private reviewer 'sharing' link</b>. If your data is uploaded as supplementary material, please state this. Your paper will be unsubmitted without this information.",[redacted]
[redacted],Research,Research,16/03/2023 12:53,"Does your paper present new data, or use data/models published elsewhere?",Yes
[redacted],Research,Research,16/03/2023 12:53,"If yes, provide a link to your data if it is in a repository. If depositing your data with Dryad, <b>ensure that you give the private reviewer 'sharing' link</b>. If your data is uploaded as supplementary material, please state this. Your paper will be unsubmitted without this information.",[redacted]
[redacted],Research,Research,16/03/2023 21:45,"Does your paper present new data, or use data/models published elsewhere?",Yes
[redacted],Research,Research,16/03/2023 21:45,"If yes, provide a link to your data if it is in a repository. If depositing your data with Dryad, <b>ensure that you give the private reviewer 'sharing' link</b>. If your data is uploaded as supplementary material, please state this. Your paper will be unsubmitted without this information.",[redacted]
[redacted],Research,Research,17/03/2023 6:14,"Does your paper present new data, or use data/models published elsewhere?",Yes
[redacted],Research,Research,17/03/2023 6:14,"If yes, provide a link to your data if it is in a repository. If depositing your data with Dryad, <b>ensure that you give the private reviewer 'sharing' link</b>. If your data is uploaded as supplementary material, please state this. Your paper will be unsubmitted without this information.",[redacted]
[redacted],Research,Research,17/03/2023 8:11,"Does your paper present new data, or use data/models published elsewhere?",Yes
[redacted],Research,Research,17/03/2023 8:11,"If yes, provide a link to your data if it is in a repository. If depositing your data with Dryad, <b>ensure that you give the private reviewer 'sharing' link</b>. If your data is uploaded as supplementary material, please state this. Your paper will be unsubmitted without this information.",[redacted]
[redacted],Research,Research,17/03/2023 9:10,"Does your paper present new data, or use data/models published elsewhere?",Yes
[redacted],Research,Research,17/03/2023 9:10,"If yes, provide a link to your data if it is in a repository. If depositing your data with Dryad, <b>ensure that you give the private reviewer 'sharing' link</b>. If your data is uploaded as supplementary material, please state this. Your paper will be unsubmitted without this information.",[redacted]
[redacted],Research,Research,17/03/2023 9:58,"Does your paper present new data, or use data/models published elsewhere?",Yes
[redacted],Research,Research,17/03/2023 9:58,"If yes, provide a link to your data if it is in a repository. If depositing your data with Dryad, <b>ensure that you give the private reviewer 'sharing' link</b>. If your data is uploaded as supplementary material, please state this. Your paper will be unsubmitted without this information.",[redacted]
[redacted],Research,Research,17/03/2023 10:59,"Does your paper present new data, or use data/models published elsewhere?",Yes
[redacted],Research,Research,17/03/2023 10:59,"If yes, provide a link to your data if it is in a repository. If depositing your data with Dryad, <b>ensure that you give the private reviewer 'sharing' link</b>. If your data is uploaded as supplementary material, please state this. Your paper will be unsubmitted without this information.",[redacted]
[redacted],Research,Research,17/03/2023 12:05,"Does your paper present new data, or use data/models published elsewhere?",Yes
[redacted],Research,Research,17/03/2023 12:05,"If yes, provide a link to your data if it is in a repository. If depositing your data with Dryad, <b>ensure that you give the private reviewer 'sharing' link</b>. If your data is uploaded as supplementary material, please state this. Your paper will be unsubmitted without this information.",[redacted]
[redacted],Research,Research,17/03/2023 13:31,"Does your paper present new data, or use data/models published elsewhere?",Yes
[redacted],Research,Research,17/03/2023 13:31,"If yes, provide a link to your data if it is in a repository. If depositing your data with Dryad, <b>ensure that you give the private reviewer 'sharing' link</b>. If your data is uploaded as supplementary material, please state this. Your paper will be unsubmitted without this information.",[redacted]
[redacted],Research,Research,17/03/2023 15:28,"Does your paper present new data, or use data/models published elsewhere?",Yes
[redacted],Research,Research,17/03/2023 15:28,"If yes, provide a link to your data if it is in a repository. If depositing your data with Dryad, <b>ensure that you give the private reviewer 'sharing' link</b>. If your data is uploaded as supplementary material, please state this. Your paper will be unsubmitted without this information.",[redacted]
[redacted],Research,Research,17/03/2023 17:10,"Does your paper present new data, or use data/models published elsewhere?",Yes
[redacted],Research,Research,17/03/2023 17:10,"If yes, provide a link to your data if it is in a repository. If depositing your data with Dryad, <b>ensure that you give the private reviewer 'sharing' link</b>. If your data is uploaded as supplementary material, please state this. Your paper will be unsubmitted without this information.",[redacted]
[redacted],Research,Research,17/03/2023 17:21,"Does your paper present new data, or use data/models published elsewhere?",Yes
[redacted],Research,Research,17/03/2023 17:21,"If yes, provide a link to your data if it is in a repository. If depositing your data with Dryad, <b>ensure that you give the private reviewer 'sharing' link</b>. If your data is uploaded as supplementary material, please state this. Your paper will be unsubmitted without this information.",[redacted]
[redacted],Research,Research,18/03/2023 13:45,"Does your paper present new data, or use data/models published elsewhere?",My paper has no data
[redacted],Research,Research,18/03/2023 13:45,"If yes, provide a link to your data if it is in a repository. If depositing your data with Dryad, <b>ensure that you give the private reviewer 'sharing' link</b>. If your data is uploaded as supplementary material, please state this. Your paper will be unsubmitted without this information.",[redacted]
[redacted],Research,Research,19/03/2023 8:52,"Does your paper present new data, or use data/models published elsewhere?",Yes
[redacted],Research,Research,19/03/2023 8:52,"If yes, provide a link to your data if it is in a repository. If depositing your data with Dryad, <b>ensure that you give the private reviewer 'sharing' link</b>. If your data is uploaded as supplementary material, please state this. Your paper will be unsubmitted without this information.",[redacted]
[redacted],Research,Research,19/03/2023 20:46,"Does your paper present new data, or use data/models published elsewhere?",Yes
[redacted],Research,Research,19/03/2023 20:46,"If yes, provide a link to your data if it is in a repository. If depositing your data with Dryad, <b>ensure that you give the private reviewer 'sharing' link</b>. If your data is uploaded as supplementary material, please state this. Your paper will be unsubmitted without this information.",[redacted]
[redacted],Research,Research,20/03/2023 10:59,"Does your paper present new data, or use data/models published elsewhere?",Yes
[redacted],Research,Research,20/03/2023 10:59,"If yes, provide a link to your data if it is in a repository. If depositing your data with Dryad, <b>ensure that you give the private reviewer 'sharing' link</b>. If your data is uploaded as supplementary material, please state this. Your paper will be unsubmitted without this information.",[redacted]
[redacted],Research,Research,20/03/2023 11:55,"Does your paper present new data, or use data/models published elsewhere?",Yes
[redacted],Research,Research,20/03/2023 11:55,"If yes, provide a link to your data if it is in a repository. If depositing your data with Dryad, <b>ensure that you give the private reviewer 'sharing' link</b>. If your data is uploaded as supplementary material, please state this. Your paper will be unsubmitted without this information.",[redacted]
[redacted],Research,Research,20/03/2023 12:22,"Does your paper present new data, or use data/models published elsewhere?",Yes
[redacted],Research,Research,20/03/2023 12:22,"If yes, provide a link to your data if it is in a repository. If depositing your data with Dryad, <b>ensure that you give the private reviewer 'sharing' link</b>. If your data is uploaded as supplementary material, please state this. Your paper will be unsubmitted without this information.",[redacted]
[redacted],Research,Research,20/03/2023 15:13,"Does your paper present new data, or use data/models published elsewhere?",Yes
[redacted],Research,Research,20/03/2023 15:13,"If yes, provide a link to your data if it is in a repository. If depositing your data with Dryad, <b>ensure that you give the private reviewer 'sharing' link</b>. If your data is uploaded as supplementary material, please state this. Your paper will be unsubmitted without this information.",[redacted]
[redacted],Research,Research,20/03/2023 15:50,"Does your paper present new data, or use data/models published elsewhere?",Yes
[redacted],Research,Research,20/03/2023 15:50,"If yes, provide a link to your data if it is in a repository. If depositing your data with Dryad, <b>ensure that you give the private reviewer 'sharing' link</b>. If your data is uploaded as supplementary material, please state this. Your paper will be unsubmitted without this information.",[redacted]
[redacted],Research,Research,20/03/2023 16:02,"Does your paper present new data, or use data/models published elsewhere?",Yes
[redacted],Research,Research,20/03/2023 16:02,"If yes, provide a link to your data if it is in a repository. If depositing your data with Dryad, <b>ensure that you give the private reviewer 'sharing' link</b>. If your data is uploaded as supplementary material, please state this. Your paper will be unsubmitted without this information.",[redacted]
[redacted],Research,Research,21/03/2023 5:43,"Does your paper present new data, or use data/models published elsewhere?",Yes
[redacted],Research,Research,21/03/2023 5:43,"If yes, provide a link to your data if it is in a repository. If depositing your data with Dryad, <b>ensure that you give the private reviewer 'sharing' link</b>. If your data is uploaded as supplementary material, please state this. Your paper will be unsubmitted without this information.",[redacted]
[redacted],Review,Review,21/03/2023 6:00,"Does your paper present new data, or use data/models published elsewhere?",My paper has no data
[redacted],Review,Review,21/03/2023 6:00,"If yes, provide a link to your data if it is in a repository. If depositing your data with Dryad, <b>ensure that you give the private reviewer 'sharing' link</b>. If your data is uploaded as supplementary material, please state this. Your paper will be unsubmitted without this information.",[redacted]
[redacted],Research,Research,21/03/2023 6:45,"Does your paper present new data, or use data/models published elsewhere?",Yes
[redacted],Research,Research,21/03/2023 6:45,"If yes, provide a link to your data if it is in a repository. If depositing your data with Dryad, <b>ensure that you give the private reviewer 'sharing' link</b>. If your data is uploaded as supplementary material, please state this. Your paper will be unsubmitted without this information.",[redacted]
[redacted],Research,Research,21/03/2023 7:23,"Does your paper present new data, or use data/models published elsewhere?",My paper has no data
[redacted],Research,Research,21/03/2023 7:23,"If yes, provide a link to your data if it is in a repository. If depositing your data with Dryad, <b>ensure that you give the private reviewer 'sharing' link</b>. If your data is uploaded as supplementary material, please state this. Your paper will be unsubmitted without this information.",[redacted]
[redacted],Research,Research,21/03/2023 8:32,"Does your paper present new data, or use data/models published elsewhere?",Yes
[redacted],Research,Research,21/03/2023 8:32,"If yes, provide a link to your data if it is in a repository. If depositing your data with Dryad, <b>ensure that you give the private reviewer 'sharing' link</b>. If your data is uploaded as supplementary material, please state this. Your paper will be unsubmitted without this information.",[redacted]
[redacted],Research,Research,21/03/2023 9:51,"Does your paper present new data, or use data/models published elsewhere?",Yes
[redacted],Research,Research,21/03/2023 9:51,"If yes, provide a link to your data if it is in a repository. If depositing your data with Dryad, <b>ensure that you give the private reviewer 'sharing' link</b>. If your data is uploaded as supplementary material, please state this. Your paper will be unsubmitted without this information.",[redacted]
