Manuscript.ID,Manuscript.Type,Submission.Question.Response.x,Submission.Question.Response.y
anon-ID_C_132,Research,Yes,[redacted]
anon-ID_C_133,Research,Yes,[redacted]
anon-ID_C_134,Research,Yes,[redacted]
anon-ID_C_135,Research,Yes,[redacted]
anon-ID_C_136,Research,Yes,[redacted]
anon-ID_C_137,Research,Yes,[redacted]
anon-ID_C_138,Research,Yes,[redacted]
anon-ID_C_139,Research,Yes,[redacted]
anon-ID_C_140,Research,Yes,[redacted]
anon-ID_C_141,Research,Yes,[redacted]
anon-ID_C_142,Research,Yes,[redacted]
anon-ID_C_143,Research,Yes,[redacted]
anon-ID_C_144,Research,Yes,[redacted]
anon-ID_C_145,Research,Yes,[redacted]
anon-ID_C_146,Research,Yes,[redacted]
anon-ID_C_147,Research,Yes,[redacted]
anon-ID_C_148,Research,Yes,[redacted]
anon-ID_C_149,Research,My paper has no data,[redacted]
anon-ID_C_150,Research,Yes,[redacted]
anon-ID_C_151,Research,Yes,[redacted]
anon-ID_C_152,Research,Yes,[redacted]
anon-ID_C_153,Research,Yes,[redacted]
anon-ID_C_154,Research,Yes,[redacted]
anon-ID_C_155,Research,Yes,[redacted]
anon-ID_C_156,Research,Yes,[redacted]
anon-ID_C_157,Research,Yes,[redacted]
anon-ID_C_158,Research,Yes,[redacted]
anon-ID_C_159,Research,Yes,[redacted]
anon-ID_C_160,Research,Yes,[redacted]
anon-ID_C_161,Invited Reply,Yes,[redacted]
anon-ID_C_162,Research,Yes,[redacted]
anon-ID_C_163,Research,Yes,[redacted]
anon-ID_C_164,Research,Yes,[redacted]
anon-ID_C_165,Review,Yes,[redacted]
anon-ID_C_166,Research,Yes,[redacted]
anon-ID_C_167,Research,Yes,[redacted]
anon-ID_C_168,Research,Yes,[redacted]
anon-ID_C_169,Research,Yes,[redacted]
anon-ID_C_170,Research,Yes,[redacted]
anon-ID_C_171,Research,Yes,[redacted]
anon-ID_C_172,Research,Yes,[redacted]
anon-ID_C_173,Research,Yes,[redacted]
anon-ID_C_174,Research,Yes,[redacted]
anon-ID_C_175,Research,Yes,[redacted]
anon-ID_C_176,Research,Yes,[redacted]
anon-ID_C_177,Research,Yes,[redacted]
anon-ID_C_178,Research,Yes,[redacted]
anon-ID_C_179,Review,My paper has no data,[redacted]
anon-ID_C_180,Research,Yes,[redacted]
anon-ID_C_181,Research,Yes,[redacted]
anon-ID_C_182,Research,Yes,[redacted]
anon-ID_C_183,Research,Yes,[redacted]
anon-ID_C_184,Research,My paper has no data,[redacted]
anon-ID_C_185,Research,My paper has no data,[redacted]
anon-ID_C_186,Research,My paper has no data,[redacted]
anon-ID_C_187,Review,My paper has no data,[redacted]
anon-ID_C_188,Research,Yes,[redacted]
anon-ID_C_189,Research,Yes,[redacted]
anon-ID_C_190,Research,My paper has no data,[redacted]
anon-ID_C_191,Research,Yes,[redacted]
anon-ID_C_192,Research,Yes,[redacted]
anon-ID_C_193,Research,Yes,[redacted]
anon-ID_C_194,Research,Yes,[redacted]
anon-ID_C_195,Research,Yes,[redacted]
anon-ID_C_196,Research,Yes,[redacted]
anon-ID_C_197,Research,Yes,[redacted]
anon-ID_C_198,Research,Yes,[redacted]
anon-ID_C_199,Research,My paper has no data,[redacted]
anon-ID_C_200,Research,My paper has no data,[redacted]
anon-ID_C_201,Research,Yes,[redacted]
anon-ID_C_202,Research,Yes,[redacted]
anon-ID_C_203,Research,Yes,[redacted]
anon-ID_C_204,Research,Yes,[redacted]
anon-ID_C_205,Research,Yes,[redacted]
anon-ID_C_206,Research,Yes,[redacted]
anon-ID_C_207,Research,Yes,[redacted]
anon-ID_C_208,Research,Yes,[redacted]
anon-ID_C_209,Research,Yes,[redacted]
anon-ID_C_210,Research,Yes,[redacted]
anon-ID_C_211,Research,Yes,[redacted]
anon-ID_C_212,Research,Yes,[redacted]
anon-ID_C_213,Research,Yes,[redacted]
anon-ID_C_214,Research,Yes,[redacted]
anon-ID_C_215,Research,Yes,[redacted]
anon-ID_C_216,Research,Yes,[redacted]
anon-ID_C_217,Research,Yes,[redacted]
anon-ID_C_218,Research,Yes,[redacted]
anon-ID_C_219,Research,Yes,[redacted]
anon-ID_C_220,Research,Yes,[redacted]
anon-ID_C_221,Research,Yes,[redacted]
anon-ID_C_222,Research,My paper has no data,[redacted]
anon-ID_C_223,Research,Yes,[redacted]
anon-ID_C_224,Research,Yes,[redacted]
anon-ID_C_225,Research,My paper has no data,[redacted]
anon-ID_C_226,Research,My paper has no data,[redacted]
anon-ID_C_227,Research,Yes,[redacted]
anon-ID_C_228,Research,Yes,[redacted]
anon-ID_C_229,Research,Yes,[redacted]
anon-ID_C_230,Research,Yes,[redacted]
anon-ID_C_231,Research,Yes,[redacted]
anon-ID_C_232,Research,Yes,[redacted]
anon-ID_C_233,Research,Yes,[redacted]
anon-ID_C_234,Research,Yes,[redacted]
anon-ID_C_235,Research,Yes,[redacted]
anon-ID_C_236,Research,Yes,[redacted]
anon-ID_C_237,Research,Yes,[redacted]
anon-ID_C_238,Research,Yes,[redacted]
anon-ID_C_239,Research,Yes,[redacted]
anon-ID_C_240,Research,Yes,[redacted]
anon-ID_C_241,Research,Yes,[redacted]
anon-ID_C_242,Research,My paper has no data,[redacted]
anon-ID_C_243,Research,Yes,[redacted]
anon-ID_C_244,Research,Yes,[redacted]
anon-ID_C_245,Research,My paper has no data,[redacted]
anon-ID_C_246,Research,Yes,[redacted]
anon-ID_C_247,Research,Yes,[redacted]
anon-ID_C_248,Research,Yes,[redacted]
anon-ID_C_249,Research,Yes,[redacted]
anon-ID_C_250,Research,Yes,[redacted]
anon-ID_C_251,Research,Yes,[redacted]
anon-ID_C_252,Research,Yes,[redacted]
anon-ID_C_253,Research,Yes,[redacted]
anon-ID_C_254,Research,Yes,[redacted]
anon-ID_C_255,Research,Yes,[redacted]
anon-ID_C_256,Research,Yes,[redacted]
anon-ID_C_257,Research,Yes,[redacted]
anon-ID_C_258,Research,My paper has no data,[redacted]
anon-ID_C_259,Research,Yes,[redacted]
anon-ID_C_260,Research,My paper has no data,[redacted]
anon-ID_C_261,Research,Yes,[redacted]
anon-ID_C_262,Commentary,My paper has no data,[redacted]
anon-ID_C_263,Research,Yes,[redacted]
anon-ID_C_264,Research,Yes,[redacted]
anon-ID_C_265,Research,Yes,[redacted]
anon-ID_C_266,Research,My paper has no data,[redacted]
anon-ID_C_267,Research,Yes,[redacted]
anon-ID_C_268,Research,Yes,[redacted]
anon-ID_C_269,Research,Yes,[redacted]
anon-ID_C_270,Research,Yes,[redacted]
anon-ID_C_271,Research,Yes,[redacted]
anon-ID_C_272,Research,Yes,[redacted]
anon-ID_C_273,Research,Yes,[redacted]
anon-ID_C_274,Research,My paper has no data,[redacted]
anon-ID_C_275,Research,Yes,[redacted]
anon-ID_C_276,Research,Yes,[redacted]
anon-ID_C_277,Research,Yes,[redacted]
anon-ID_C_278,Research,My paper has no data,[redacted]
anon-ID_C_279,Research,Yes,[redacted]
anon-ID_C_280,Research,Yes,[redacted]
anon-ID_C_281,Research,Yes,[redacted]
anon-ID_C_282,Research,Yes,[redacted]
anon-ID_C_283,Research,Yes,[redacted]
anon-ID_C_284,Research,Yes,[redacted]
anon-ID_C_285,Research,Yes,[redacted]
anon-ID_C_286,Research,Yes,[redacted]
anon-ID_C_287,Research,Yes,[redacted]
anon-ID_C_288,Research,Yes,[redacted]
anon-ID_C_289,Research,Yes,[redacted]
anon-ID_C_290,Research,Yes,[redacted]
anon-ID_C_291,Research,Yes,[redacted]
anon-ID_C_292,Research,Yes,[redacted]
anon-ID_C_293,Research,Yes,[redacted]
anon-ID_C_294,Research,Yes,[redacted]
anon-ID_C_295,Research,Yes,[redacted]
anon-ID_C_296,Research,Yes,[redacted]
anon-ID_C_297,Research,Yes,[redacted]
anon-ID_C_298,Research,Yes,[redacted]
anon-ID_C_299,Research,Yes,[redacted]
anon-ID_C_300,Research,Yes,[redacted]
anon-ID_C_301,Biological Science Practices,My paper has no data,[redacted]
anon-ID_C_302,Research,Yes,[redacted]
anon-ID_C_303,Research,Yes,[redacted]
anon-ID_C_304,Research,Yes,[redacted]
anon-ID_C_305,Research,Yes,[redacted]
anon-ID_C_306,Research,Yes,[redacted]
anon-ID_C_307,Research,My paper has no data,[redacted]
anon-ID_C_308,Research,Yes,[redacted]
anon-ID_C_309,Research,Yes,[redacted]
anon-ID_C_310,Research,Yes,[redacted]
anon-ID_C_311,Research,Yes,[redacted]
anon-ID_C_312,Research,Yes,[redacted]
anon-ID_C_313,Research,Yes,[redacted]
anon-ID_C_314,Research,Yes,[redacted]
anon-ID_C_315,Research,Yes,[redacted]
anon-ID_C_316,Research,Yes,[redacted]
anon-ID_C_317,Research,Yes,[redacted]
anon-ID_C_318,Research,My paper has no data,[redacted]
anon-ID_C_319,Research,Yes,[redacted]
anon-ID_C_320,Research,Yes,[redacted]
anon-ID_C_321,Research,Yes,[redacted]
anon-ID_C_322,Research,Yes,[redacted]
anon-ID_C_323,Research,Yes,[redacted]
anon-ID_C_324,Research,Yes,[redacted]
anon-ID_C_325,Research,My paper has no data,[redacted]
anon-ID_C_326,Research,Yes,[redacted]
anon-ID_C_327,Research,Yes,[redacted]
anon-ID_C_328,Research,My paper has no data,[redacted]
anon-ID_C_329,Research,Yes,[redacted]
anon-ID_C_330,Research,Yes,[redacted]
anon-ID_C_331,Research,Yes,[redacted]
anon-ID_C_332,Research,Yes,[redacted]
anon-ID_C_333,Research,Yes,[redacted]
anon-ID_C_334,Research,Yes,[redacted]
anon-ID_C_335,Research,Yes,[redacted]
anon-ID_C_336,Research,Yes,[redacted]
anon-ID_C_337,Research,Yes,[redacted]
anon-ID_C_338,Research,Yes,[redacted]
anon-ID_C_339,Research,Yes,[redacted]
anon-ID_C_340,Research,My paper has no data,[redacted]
anon-ID_C_341,Research,Yes,[redacted]
anon-ID_C_342,Review,My paper has no data,[redacted]
anon-ID_C_343,Biological Science Practices,Yes,[redacted]
anon-ID_C_344,Research,Yes,[redacted]
anon-ID_C_345,Research,Yes,[redacted]
anon-ID_C_346,Research,My paper has no data,[redacted]
anon-ID_C_347,Research,Yes,[redacted]
anon-ID_C_348,Research,Yes,[redacted]
anon-ID_C_349,Research,Yes,[redacted]
anon-ID_C_350,Research,Yes,[redacted]
anon-ID_C_351,Research,Yes,[redacted]
anon-ID_C_352,Research,Yes,[redacted]
anon-ID_C_353,Research,Yes,[redacted]
anon-ID_C_354,Research,Yes,[redacted]
anon-ID_C_355,Research,Yes,[redacted]
anon-ID_C_356,Research,Yes,[redacted]
anon-ID_C_357,Research,Yes,[redacted]
anon-ID_C_358,Research,Yes,[redacted]
anon-ID_C_359,Research,Yes,[redacted]
anon-ID_C_360,Research,Yes,[redacted]
anon-ID_C_361,Biological Science Practices,My paper has no data,[redacted]
anon-ID_C_362,Research,Yes,[redacted]
anon-ID_C_363,Research,Yes,[redacted]
anon-ID_C_364,Evidence Synthesis,Yes,[redacted]
anon-ID_C_365,Research,Yes,[redacted]
anon-ID_C_366,Research,Yes,[redacted]
anon-ID_C_367,Research,Yes,[redacted]
anon-ID_C_368,Evidence Synthesis,Yes,[redacted]
anon-ID_C_369,Research,My paper has no data,[redacted]
anon-ID_C_370,Research,Yes,[redacted]
anon-ID_C_371,Research,Yes,[redacted]
anon-ID_C_372,Research,Yes,[redacted]
anon-ID_C_373,Research,Yes,[redacted]
anon-ID_C_374,Research,Yes,[redacted]
anon-ID_C_375,Research,Yes,[redacted]
anon-ID_C_376,Research,Yes,[redacted]
anon-ID_C_377,Research,Yes,[redacted]
anon-ID_C_378,Research,Yes,[redacted]
anon-ID_C_379,Research,Yes,[redacted]
anon-ID_C_380,Research,Yes,[redacted]
anon-ID_C_381,Research,My paper has no data,[redacted]
anon-ID_C_382,Research,Yes,[redacted]
anon-ID_C_383,Research,Yes,[redacted]
anon-ID_C_384,Research,My paper has no data,[redacted]
anon-ID_C_385,Research,Yes,[redacted]
anon-ID_C_386,Research,Yes,[redacted]
anon-ID_C_387,Review,My paper has no data,[redacted]
anon-ID_C_388,Research,Yes,[redacted]
anon-ID_C_389,Research,Yes,[redacted]
anon-ID_C_390,Research,Yes,[redacted]
anon-ID_C_391,Research,Yes,[redacted]
anon-ID_C_392,Research,Yes,[redacted]
anon-ID_C_393,Research,Yes,[redacted]
anon-ID_C_394,Research,Yes,[redacted]
anon-ID_C_395,Research,Yes,[redacted]
anon-ID_C_396,Research,Yes,[redacted]
anon-ID_C_397,Research,Yes,[redacted]
anon-ID_C_398,Research,Yes,[redacted]
anon-ID_C_399,Research,Yes,[redacted]
anon-ID_C_400,Research,Yes,[redacted]
anon-ID_C_401,Research,Yes,[redacted]
anon-ID_C_402,Research,Yes,[redacted]
anon-ID_C_403,Research,Yes,[redacted]
anon-ID_C_404,Evidence Synthesis,Yes,[redacted]
anon-ID_C_405,Research,Yes,[redacted]
anon-ID_C_406,Research,Yes,[redacted]
anon-ID_C_407,Research,Yes,[redacted]
anon-ID_C_408,Research,Yes,[redacted]
anon-ID_C_409,Research,My paper has no data,[redacted]
anon-ID_C_410,Review,My paper has no data,[redacted]
anon-ID_C_411,Research,Yes,[redacted]
anon-ID_C_412,Research,Yes,[redacted]
anon-ID_C_413,Research,Yes,[redacted]
anon-ID_C_414,Research,Yes,[redacted]
anon-ID_C_415,Research,Yes,[redacted]
anon-ID_C_416,Research,Yes,[redacted]
anon-ID_C_417,Research,Yes,[redacted]
anon-ID_C_418,Research,Yes,[redacted]
anon-ID_C_419,Research,Yes,[redacted]
anon-ID_C_420,Research,My paper has no data,[redacted]
anon-ID_C_421,Research,Yes,[redacted]
anon-ID_C_422,Research,Yes,[redacted]
anon-ID_C_423,Research,Yes,[redacted]
anon-ID_C_424,Research,My paper has no data,[redacted]
anon-ID_C_425,Research,Yes,[redacted]
anon-ID_C_426,Research,Yes,[redacted]
anon-ID_C_427,Research,Yes,[redacted]
anon-ID_C_428,Research,Yes,[redacted]
anon-ID_C_429,Research,Yes,[redacted]
anon-ID_C_430,Research,Yes,[redacted]
anon-ID_C_431,Research,My paper has no data,[redacted]
anon-ID_C_432,Research,Yes,[redacted]
anon-ID_C_433,Research,Yes,[redacted]
anon-ID_C_434,Research,My paper has no data,[redacted]
anon-ID_C_435,Research,Yes,[redacted]
anon-ID_C_436,Research,Yes,[redacted]
anon-ID_C_437,Research,Yes,[redacted]
anon-ID_C_438,Review,My paper has no data,[redacted]
anon-ID_C_439,Research,Yes,[redacted]
anon-ID_C_440,Research,Yes,[redacted]
anon-ID_C_441,Special Feature Reviews,My paper has no data,[redacted]
anon-ID_C_442,Research,Yes,[redacted]
anon-ID_C_443,Review,Yes,[redacted]
anon-ID_C_444,Research,Yes,[redacted]
anon-ID_C_445,Research,Yes,[redacted]
anon-ID_C_446,Research,Yes,[redacted]
anon-ID_C_447,Research,Yes,[redacted]
anon-ID_C_448,Research,Yes,[redacted]
anon-ID_C_449,Research,Yes,[redacted]
anon-ID_C_450,Research,Yes,[redacted]
anon-ID_C_451,Research,Yes,[redacted]
anon-ID_C_452,Review,My paper has no data,[redacted]
anon-ID_C_453,Research,Yes,[redacted]
anon-ID_C_454,Research,Yes,[redacted]
anon-ID_C_455,Research,Yes,[redacted]
anon-ID_C_456,Biological Science Practices,My paper has no data,[redacted]
anon-ID_C_457,Research,Yes,[redacted]
anon-ID_C_458,Research,Yes,[redacted]
anon-ID_C_459,Review,Yes,[redacted]
anon-ID_C_460,Research,Yes,[redacted]
anon-ID_C_461,Research,Yes,[redacted]
anon-ID_C_462,Review,My paper has no data,[redacted]
anon-ID_C_463,Research,My paper has no data,[redacted]
anon-ID_C_464,Research,Yes,[redacted]
anon-ID_C_465,Research,Yes,[redacted]
anon-ID_C_466,Research,Yes,[redacted]
anon-ID_C_467,Research,Yes,[redacted]
anon-ID_C_468,Research,Yes,[redacted]
anon-ID_C_469,Research,Yes,[redacted]
anon-ID_C_470,Research,My paper has no data,[redacted]
anon-ID_C_471,Research,Yes,[redacted]
anon-ID_C_472,Research,Yes,[redacted]
anon-ID_C_473,Research,Yes,[redacted]
anon-ID_C_474,Research,Yes,[redacted]
anon-ID_C_475,Research,Yes,[redacted]
anon-ID_C_476,Research,Yes,[redacted]
anon-ID_C_477,Research,Yes,[redacted]
anon-ID_C_478,Research,Yes,[redacted]
anon-ID_C_479,Research,Yes,[redacted]
anon-ID_C_480,Research,Yes,[redacted]
anon-ID_C_481,Research,Yes,[redacted]
anon-ID_C_482,Research,My paper has no data,[redacted]
anon-ID_C_483,Research,Yes,[redacted]
anon-ID_C_484,Research,Yes,[redacted]
anon-ID_C_485,Research,Yes,[redacted]
anon-ID_C_486,Research,Yes,[redacted]
anon-ID_C_487,Research,Yes,[redacted]
anon-ID_C_488,Research,Yes,[redacted]
anon-ID_C_489,Research,Yes,[redacted]
anon-ID_C_490,Research,Yes,[redacted]
anon-ID_C_491,Research,Yes,[redacted]
anon-ID_C_492,Research,Yes,[redacted]
anon-ID_C_493,Comment,My paper has no data,[redacted]
anon-ID_C_494,Research,Yes,[redacted]
anon-ID_C_495,Research,Yes,[redacted]
anon-ID_C_496,Research,Yes,[redacted]
anon-ID_C_497,Research,Yes,[redacted]
anon-ID_C_498,Research,Yes,[redacted]
anon-ID_C_499,Research,Yes,[redacted]
anon-ID_C_500,Research,Yes,[redacted]
anon-ID_C_501,Review,My paper has no data,[redacted]
anon-ID_C_502,Research,Yes,[redacted]
anon-ID_C_503,Research,Yes,[redacted]
anon-ID_C_504,Research,Yes,[redacted]
anon-ID_C_505,Research,Yes,[redacted]
anon-ID_C_506,Research,Yes,[redacted]
anon-ID_C_507,Research,Yes,[redacted]
anon-ID_C_508,Research,Yes,[redacted]
anon-ID_C_509,Research,Yes,[redacted]
anon-ID_C_510,Research,Yes,[redacted]
anon-ID_C_511,Research,Yes,[redacted]
anon-ID_C_512,Research,Yes,[redacted]
anon-ID_C_513,Research,Yes,[redacted]
anon-ID_C_514,Research,Yes,[redacted]
anon-ID_C_515,Research,Yes,[redacted]
anon-ID_C_516,Research,Yes,[redacted]
anon-ID_C_517,Research,Yes,[redacted]
anon-ID_C_518,Research,Yes,[redacted]
anon-ID_C_519,Research,Yes,[redacted]
anon-ID_C_520,Research,Yes,[redacted]
anon-ID_C_521,Research,Yes,[redacted]
anon-ID_C_522,Research,Yes,[redacted]
anon-ID_C_523,Research,Yes,[redacted]
anon-ID_C_524,Research,Yes,[redacted]
anon-ID_C_525,Research,Yes,[redacted]
anon-ID_C_526,Research,Yes,[redacted]
anon-ID_C_527,Research,Yes,[redacted]
anon-ID_C_528,Research,Yes,[redacted]
anon-ID_C_529,Research,Yes,[redacted]
anon-ID_C_530,Research,Yes,[redacted]
anon-ID_C_531,Review,Yes,[redacted]
anon-ID_C_532,Research,Yes,[redacted]
anon-ID_C_533,Research,Yes,[redacted]
anon-ID_C_534,Research,Yes,[redacted]
anon-ID_C_535,Invited Reply,My paper has no data,[redacted]
anon-ID_C_536,Research,Yes,[redacted]
anon-ID_C_537,Research,Yes,[redacted]
anon-ID_C_538,Research,Yes,[redacted]
anon-ID_C_539,Research,Yes,[redacted]
anon-ID_C_540,Biological Science Practices,My paper has no data,[redacted]
anon-ID_C_541,Research,Yes,[redacted]
anon-ID_C_542,Research,Yes,[redacted]
anon-ID_C_543,Research,Yes,[redacted]
anon-ID_C_544,Special Feature Reviews,Yes,[redacted]
anon-ID_C_545,Research,Yes,[redacted]
anon-ID_C_546,Research,Yes,[redacted]
anon-ID_C_547,Research,Yes,[redacted]
anon-ID_C_548,Research,Yes,[redacted]
anon-ID_C_549,Research,Yes,[redacted]
anon-ID_C_550,Research,Yes,[redacted]
anon-ID_C_551,Research,Yes,[redacted]
anon-ID_C_552,Research,Yes,[redacted]
anon-ID_C_553,Review,Yes,[redacted]
anon-ID_C_554,Research,Yes,[redacted]
anon-ID_C_555,Research,Yes,[redacted]
anon-ID_C_556,Research,Yes,[redacted]
anon-ID_C_557,Research,Yes,[redacted]
anon-ID_C_558,Research,Yes,[redacted]
anon-ID_C_559,Research,Yes,[redacted]
anon-ID_C_560,Research,My paper has no data,[redacted]
anon-ID_C_561,Research,My paper has no data,[redacted]
anon-ID_C_562,Research,Yes,[redacted]
anon-ID_C_563,Research,Yes,[redacted]
anon-ID_C_564,Research,Yes,[redacted]
anon-ID_C_565,Research,Yes,[redacted]
anon-ID_C_566,Research,Yes,[redacted]
anon-ID_C_567,Research,Yes,[redacted]
anon-ID_C_568,Research,Yes,[redacted]
anon-ID_C_569,Research,Yes,[redacted]
anon-ID_C_570,Research,Yes,[redacted]
anon-ID_C_571,Research,Yes,[redacted]
anon-ID_C_572,Research,Yes,[redacted]
anon-ID_C_573,Research,Yes,[redacted]
anon-ID_C_574,Research,Yes,[redacted]
anon-ID_C_575,Research,Yes,[redacted]
anon-ID_C_576,Research,Yes,[redacted]
anon-ID_C_577,Research,Yes,[redacted]
anon-ID_C_578,Research,Yes,[redacted]
anon-ID_C_579,Research,Yes,[redacted]
anon-ID_C_580,Research,Yes,[redacted]
anon-ID_C_581,Research,My paper has no data,[redacted]
anon-ID_C_582,Research,Yes,[redacted]
anon-ID_C_583,Research,Yes,[redacted]
anon-ID_C_584,Research,Yes,[redacted]
anon-ID_C_585,Research,Yes,[redacted]
anon-ID_C_586,Research,Yes,[redacted]
anon-ID_C_587,Research,Yes,[redacted]
anon-ID_C_588,Research,Yes,[redacted]
anon-ID_C_589,Research,Yes,[redacted]
anon-ID_C_590,Research,Yes,[redacted]
anon-ID_C_591,Research,Yes,[redacted]
anon-ID_C_592,Research,Yes,[redacted]
