"","x"
"165","journal of experimental zoology part b-molecular and developmental evolution"
"166","journal of fish and wildlife management"
"167","journal of freshwater ecology"
"168","journal of heredity"
"169","journal of human evolution"
"170","journal of molecular evolution"
"171","journal of natural history"
"172","journal of plant biology"
"173","journal of plant ecology"
"174","journal of soil and water conservation"
"175","journal of systematic palaeontology"
"176","journal of thermal biology"
"177","journal of tropical ecology"
"178","journal of vegetation science"
"179","journal of wildlife and biodiversity"
"180","journal of wildlife management"
"181","journal of zoological systematics and evolutionary research"
"182","landscape and ecological engineering"
"183","landscape and urban planning"
"184","landscape ecology"
"185","limnology and oceanography"
"186","mammal review"
"187","marine biology"
"188","marine biology research"
"189","marine ecology progress series"
"190","methods in ecology and evolution"
"191","microbial ecology"
"192","molecular biology and evolution"
"193","molecular ecology"
"194","molecular ecology resources"
"195","molecular phylogenetics and evolution"
"196","movement ecology"
"197","natural areas journal"
"198","nature"
"199","nature climate change"
"200","nature communications"
"201","nature ecology & evolution"
"202","neobiota"
"203","new phytologist"
"204","new zealand journal of ecology"
"205","northeastern naturalist"
"206","northwest science"
"207","oecologia"
"208","oikos"
"209","organisms diversity & evolution"
"210","oryx"
"211","paleobiology"
"212","pedobiologia"
"213","people and nature"
"214","perspectives in plant ecology evolution and systematics"
"215","philosophical transactions of the royal society b: biological sciences"
"216","phytocoenologia"
"217","plankton and benthos research"
"218","plant biology"
"219","plant ecology"
"220","plant ecology and diversity"
"221","plant physiology"
"222","plant species biology"
"223","plant systematics and evolution"
"224","plants people planet"
"225","plos biology"
"226","polar biology"
"227","polar record"
"228","polar research"
"229","polar science"
"230","polish journal of ecology"
"231","polish polar research"
"232","population ecology"
"233","proceedings of the academy of natural sciences of philadelphia"
"234","proceedings of the linnean society of new south wales"
"235","proceedings of the national academy of sciences: usa"
"236","proceedings of the royal society b-biological sciences"
"237","rangeland ecology & management"
"238","rangeland journal"
"239","regional studies in marine science"
"240","remote sensing"
"241","remote sensing in ecology and conservation"
"242","restoration ecology"
"243","reviews in fish biology and fisheries"
"244","revista chilena de historia natural"
"245","russian journal of biological invasions"
"246","russian journal of ecology"
"247","science"
"248","science advances"
"249","science of the total environment"
"250","scientific reports"
"251","soil ecology letters"
"252","south of russia-ecology development"
"253","southeastern naturalist"
"254","southwestern naturalist"
"255","systematic biology"
"256","systematic botany"
"257","systematic entomology"
"258","taxon"
"259","theoretical and applied ecology"
"260","theoretical ecology"
"261","theoretical population biology"
"262","trends in ecology & evolution"
"263","tropical ecology"
"264","tropics"
"265","urban ecosystems"
"266","vestnik tomskogo gosudarstvennogo universiteta-biologiya"
"267","vie et milieu-life and environment"
"268","web ecology"
"269","western north american naturalist"
"270","wetlands"
"271","wetlands ecology and management"
"272","wildlife biology"
"273","wildlife monographs"
"274","wildlife research"
"275","zoologica scripta"
